Region Code,Provider Code,Provider Name,Treatment Function Code,Treatment Function,Total number of incomplete pathways,Total within 18 weeks,% within 18 weeks,Average (median) waiting time (in weeks),92nd percentile waiting time (in weeks)
Y56,R1H,BARTS HEALTH NHS TRUST,C_100,General Surgery Service,"4,430","2,264",51.10%,17.4,45
Y56,R1H,BARTS HEALTH NHS TRUST,C_101,Urology Service,"5,339","2,861",53.60%,16.3,44.3
Y56,R1H,BARTS HEALTH NHS TRUST,C_110,Trauma and Orthopaedic Service,"7,691","3,950",51.40%,17.5,43.3
Y56,R1H,BARTS HEALTH NHS TRUST,C_120,Ear Nose and Throat Service,"7,078","3,376",47.70%,19,50.4
Y56,R1H,BARTS HEALTH NHS TRUST,C_130,Ophthalmology Service,"4,583","3,324",72.50%,10,32.4
Y56,R1H,BARTS HEALTH NHS TRUST,C_140,Oral Surgery Service,"5,614","2,559",45.60%,19.9,48.2
Y56,R1H,BARTS HEALTH NHS TRUST,C_150,Neurosurgical Service,"1,153",747,64.80%,13.7,35.8
Y56,R1H,BARTS HEALTH NHS TRUST,C_160,Plastic Surgery Service,"1,262",656,52.00%,17.4,46.2
Y56,R1H,BARTS HEALTH NHS TRUST,C_170,Cardiothoracic Surgery Service,2,2,100.00%,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,C_300,General Internal Medicine Service,40,23,57.50%,12,34.8
Y56,R1H,BARTS HEALTH NHS TRUST,C_301,Gastroenterology Service,"7,058","3,699",52.40%,17,42.1
Y56,R1H,BARTS HEALTH NHS TRUST,C_320,Cardiology Service,"9,466","6,190",65.40%,11.7,33.6
Y56,R1H,BARTS HEALTH NHS TRUST,C_330,Dermatology Service,"5,669","3,060",54.00%,16.2,38.8
Y56,R1H,BARTS HEALTH NHS TRUST,C_340,Respiratory Medicine Service,"6,989","3,522",50.40%,17.8,43.6
Y56,R1H,BARTS HEALTH NHS TRUST,C_400,Neurology Service,"2,521","1,122",44.50%,20.1,45.9
Y56,R1H,BARTS HEALTH NHS TRUST,C_410,Rheumatology Service,"1,256",924,73.60%,9.7,28.6
Y56,R1H,BARTS HEALTH NHS TRUST,C_430,Elderly Medicine Service,448,315,70.30%,10.7,31.7
Y56,R1H,BARTS HEALTH NHS TRUST,C_502,Gynaecology Service,"10,218","4,828",47.20%,19,45.5
Y56,R1H,BARTS HEALTH NHS TRUST,X02,Other - Medical Services,"18,904","11,385",60.20%,13.4,41.5
Y56,R1H,BARTS HEALTH NHS TRUST,X03,Other - Mental Health Services,-,-,-,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,X04,Other - Paediatric Services,"8,979","4,912",54.70%,15.7,46.7
Y56,R1H,BARTS HEALTH NHS TRUST,X05,Other - Surgical Services,"14,769","8,541",57.80%,14.4,44.5
Y56,R1H,BARTS HEALTH NHS TRUST,X06,Other - Other Services,666,447,67.10%,10.6,38.2
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_100,General Surgery Service,"2,775","1,629",58.70%,14.6,41.3
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_101,Urology Service,"4,315","2,398",55.60%,15.9,41.7
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_110,Trauma and Orthopaedic Service,"7,171","2,878",40.10%,22.4,49.1
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_120,Ear Nose and Throat Service,"8,205","3,097",37.70%,24.9,50
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_130,Ophthalmology Service,"2,240","1,213",54.20%,16.5,41.3
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_140,Oral Surgery Service,"6,460","3,455",53.50%,16.9,44.7
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_150,Neurosurgical Service,-,-,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_160,Plastic Surgery Service,66,27,40.90%,19.7,27.4
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_170,Cardiothoracic Surgery Service,-,-,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_300,General Internal Medicine Service,4,3,75.00%,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_301,Gastroenterology Service,"10,012","5,480",54.70%,16.3,44.6
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_320,Cardiology Service,"8,450","3,608",42.70%,22.2,51.9
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_330,Dermatology Service,"5,017","1,949",38.80%,23.3,46.4
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_340,Respiratory Medicine Service,"4,099","1,993",48.60%,18.5,45.8
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_400,Neurology Service,"2,844","1,298",45.60%,19.9,41.6
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_410,Rheumatology Service,815,687,84.30%,5.3,25
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_430,Elderly Medicine Service,65,60,92.30%,2.9,10.8
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_502,Gynaecology Service,"4,039","2,418",59.90%,14.8,39.7
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,X02,Other - Medical Services,"10,828","6,931",64.00%,12.6,36.4
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,X03,Other - Mental Health Services,18,18,100.00%,-,-
