Region Code,Provider Code,Provider Name,Treatment Function Code,Treatment Function,Total number of incomplete pathways,Total within 18 weeks,% within 18 weeks,Average (median) waiting time (in weeks),92nd percentile waiting time (in weeks)
Y56,R1H,BARTS HEALTH NHS TRUST,C_100,General Surgery Service,"4,143","2,139",51.60%,17,45.4
Y56,R1H,BARTS HEALTH NHS TRUST,C_101,Urology Service,"5,641","2,842",50.40%,17.8,45.5
Y56,R1H,BARTS HEALTH NHS TRUST,C_110,Trauma and Orthopaedic Service,"7,885","3,993",50.60%,17.7,43.5
Y56,R1H,BARTS HEALTH NHS TRUST,C_120,Ear Nose and Throat Service,"7,177","3,359",46.80%,19.5,50.7
Y56,R1H,BARTS HEALTH NHS TRUST,C_130,Ophthalmology Service,"4,675","3,333",71.30%,11.1,33.5
Y56,R1H,BARTS HEALTH NHS TRUST,C_140,Oral Surgery Service,"6,042","2,855",47.30%,19.2,49.1
Y56,R1H,BARTS HEALTH NHS TRUST,C_150,Neurosurgical Service,"1,240",816,65.80%,12,32.8
Y56,R1H,BARTS HEALTH NHS TRUST,C_160,Plastic Surgery Service,"1,257",636,50.60%,17.6,45.9
Y56,R1H,BARTS HEALTH NHS TRUST,C_170,Cardiothoracic Surgery Service,4,4,100.00%,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,C_300,General Internal Medicine Service,33,18,54.50%,16.3,32.4
Y56,R1H,BARTS HEALTH NHS TRUST,C_301,Gastroenterology Service,"7,310","3,732",51.10%,17.6,42
Y56,R1H,BARTS HEALTH NHS TRUST,C_320,Cardiology Service,"9,351","6,025",64.40%,12.7,33.9
Y56,R1H,BARTS HEALTH NHS TRUST,C_330,Dermatology Service,"6,114","3,078",50.30%,17.8,41.7
Y56,R1H,BARTS HEALTH NHS TRUST,C_340,Respiratory Medicine Service,"6,889","3,515",51.00%,17.5,43.9
Y56,R1H,BARTS HEALTH NHS TRUST,C_400,Neurology Service,"2,542","1,150",45.20%,19.8,44.6
Y56,R1H,BARTS HEALTH NHS TRUST,C_410,Rheumatology Service,"1,368","1,041",76.10%,9.3,30.1
Y56,R1H,BARTS HEALTH NHS TRUST,C_430,Elderly Medicine Service,471,338,71.80%,10.7,33.1
Y56,R1H,BARTS HEALTH NHS TRUST,C_502,Gynaecology Service,"10,267","4,831",47.10%,19.4,45.3
Y56,R1H,BARTS HEALTH NHS TRUST,X02,Other - Medical Services,"18,997","11,066",58.30%,14.4,41.6
Y56,R1H,BARTS HEALTH NHS TRUST,X03,Other - Mental Health Services,-,-,-,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,X04,Other - Paediatric Services,"9,041","4,690",51.90%,17,46.1
Y56,R1H,BARTS HEALTH NHS TRUST,X05,Other - Surgical Services,"14,835","8,473",57.10%,14.9,43.8
Y56,R1H,BARTS HEALTH NHS TRUST,X06,Other - Other Services,714,489,68.50%,9,39.1
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_100,General Surgery Service,"2,698","1,594",59.10%,14.3,43.3
