Region Code,Provider Code,Provider Name,Treatment Function Code,Treatment Function,Total number of incomplete pathways,Total within 18 weeks,% within 18 weeks,Average (median) waiting time (in weeks),92nd percentile waiting time (in weeks),Total 52 plus weeks,Total 78 plus weeks,Total 65 plus weeks,Year_Num,Month_Num,Source_File,% 52 plus weeks
Y56,R1H,BARTS HEALTH NHS TRUST,C_100,General Surgery Service,"3,035","1,562",51.50%,16.9,52.1,244,5,75,2024,4,RTT_2024_APR,
Y56,R1H,BARTS HEALTH NHS TRUST,C_101,Urology Service,"6,179","2,915",47.20%,19.5,51.3,474,9,143,2024,4,RTT_2024_APR,
Y56,R1H,BARTS HEALTH NHS TRUST,C_110,Trauma and Orthopaedic Service,"7,707","4,073",52.80%,16,48,439,10,107,2024,4,RTT_2024_APR,
Y56,R1H,BARTS HEALTH NHS TRUST,C_120,Ear Nose and Throat Service,"6,990","3,194",45.70%,21.2,58.9,882,44,282,2024,4,RTT_2024_APR,
Y56,R1H,BARTS HEALTH NHS TRUST,C_130,Ophthalmology Service,"4,968","3,043",61.30%,12.7,35.9,37,-,2,2024,4,RTT_2024_APR,
Y56,R1H,BARTS HEALTH NHS TRUST,C_140,Oral Surgery Service,"7,282","2,913",40.00%,23.5,58.1,897,51,252,2024,4,RTT_2024_APR,
Y56,R1H,BARTS HEALTH NHS TRUST,C_150,Neurosurgical Service,"1,262",568,45.00%,19.5,50,84,4,19,2024,4,RTT_2024_APR,
Y56,R1H,BARTS HEALTH NHS TRUST,C_160,Plastic Surgery Service,"1,191",559,46.90%,19.9,49.7,88,1,20,2024,4,RTT_2024_APR,
Y56,R1H,BARTS HEALTH NHS TRUST,C_170,Cardiothoracic Surgery Service,5,4,80.00%,-,-,-,-,-,2024,4,RTT_2024_APR,
Y56,R1H,BARTS HEALTH NHS TRUST,C_300,General Internal Medicine Service,20,11,55.00%,13.5,47.2,-,-,-,2024,4,RTT_2024_APR,
Y56,R1H,BARTS HEALTH NHS TRUST,C_301,Gastroenterology Service,"8,330","4,526",54.30%,15.6,43.7,249,-,53,2024,4,RTT_2024_APR,
Y56,R1H,BARTS HEALTH NHS TRUST,C_320,Cardiology Service,"9,529","6,088",63.90%,12.1,34.1,33,-,2,2024,4,RTT_2024_APR,
Y56,R1H,BARTS HEALTH NHS TRUST,C_330,Dermatology Service,"6,557","3,133",47.80%,19.4,49.4,381,5,26,2024,4,RTT_2024_APR,
Y56,R1H,BARTS HEALTH NHS TRUST,C_340,Respiratory Medicine Service,"5,325","2,965",55.70%,15.6,46,269,2,38,2024,4,RTT_2024_APR,
Y56,R1H,BARTS HEALTH NHS TRUST,C_400,Neurology Service,"2,285","1,171",51.20%,17.2,42.7,66,1,9,2024,4,RTT_2024_APR,
Y56,R1H,BARTS HEALTH NHS TRUST,C_410,Rheumatology Service,"1,043",895,85.80%,6.8,25.4,7,-,2,2024,4,RTT_2024_APR,
Y56,R1H,BARTS HEALTH NHS TRUST,C_430,Elderly Medicine Service,219,166,75.80%,6.8,32.2,-,-,-,2024,4,RTT_2024_APR,
Y56,R1H,BARTS HEALTH NHS TRUST,C_502,Gynaecology Service,"10,283","5,229",50.90%,17.1,48.2,599,9,187,2024,4,RTT_2024_APR,
Y56,R1H,BARTS HEALTH NHS TRUST,X02,Other - Medical Services,"17,417","10,319",59.20%,13.2,39.6,289,5,39,2024,4,RTT_2024_APR,
Y56,R1H,BARTS HEALTH NHS TRUST,X03,Other - Mental Health Services,-,-,-,-,-,-,-,-,2024,4,RTT_2024_APR,
Y56,R1H,BARTS HEALTH NHS TRUST,X04,Other - Paediatric Services,"8,824","4,460",50.50%,17.4,51.9,700,16,171,2024,4,RTT_2024_APR,
Y56,R1H,BARTS HEALTH NHS TRUST,X05,Other - Surgical Services,"13,106","7,577",57.80%,13.7,47.1,679,29,187,2024,4,RTT_2024_APR,
Y56,R1H,BARTS HEALTH NHS TRUST,X06,Other - Other Services,772,498,64.50%,7.9,47.3,51,-,14,2024,4,RTT_2024_APR,
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_100,General Surgery Service,"2,797","1,521",54.40%,15.7,48.1,170,5,31,2024,4,RTT_2024_APR,
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_101,Urology Service,"4,303","2,042",47.50%,19.6,45.1,128,1,10,2024,4,RTT_2024_APR,
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_110,Trauma and Orthopaedic Service,"8,121","2,915",35.90%,25,50,536,3,129,2024,4,RTT_2024_APR,
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_120,Ear Nose and Throat Service,"9,492","4,153",43.80%,21.2,57,"1,059",49,316,2024,4,RTT_2024_APR,
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_130,Ophthalmology Service,"2,341","1,296",55.40%,15,41.1,39,-,2,2024,4,RTT_2024_APR,
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_140,Oral Surgery Service,"9,101","3,530",38.80%,23.3,54,843,17,253,2024,4,RTT_2024_APR,
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_150,Neurosurgical Service,-,-,-,-,-,-,-,-,2024,4,RTT_2024_APR,
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_160,Plastic Surgery Service,47,35,74.50%,10.5,34.2,-,-,-,2024,4,RTT_2024_APR,
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_170,Cardiothoracic Surgery Service,-,-,-,-,-,-,-,-,2024,4,RTT_2024_APR,
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_300,General Internal Medicine Service,20,6,30.00%,29,38.4,-,-,-,2024,4,RTT_2024_APR,
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_301,Gastroenterology Service,"9,859","5,465",55.40%,15.1,41.1,206,1,9,2024,4,RTT_2024_APR,
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_320,Cardiology Service,"9,504","5,044",53.10%,16.7,40.7,79,-,-,2024,4,RTT_2024_APR,
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_330,Dermatology Service,"6,291","2,584",41.10%,21.9,44.5,143,-,-,2024,4,RTT_2024_APR,
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_340,Respiratory Medicine Service,"3,932","2,172",55.20%,15.4,40.1,13,-,-,2024,4,RTT_2024_APR,
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_400,Neurology Service,"3,949","1,429",36.20%,24.6,43.3,6,-,-,2024,4,RTT_2024_APR,
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_410,Rheumatology Service,835,646,77.40%,7.5,25.7,-,-,-,2024,4,RTT_2024_APR,
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_430,Elderly Medicine Service,76,69,90.80%,2.7,41.9,-,-,-,2024,4,RTT_2024_APR,
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_502,Gynaecology Service,"6,912","3,484",50.40%,17.7,46.9,385,4,81,2024,4,RTT_2024_APR,
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,X02,Other - Medical Services,"11,957","6,710",56.10%,15.3,40.5,103,-,5,2024,4,RTT_2024_APR,
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,X03,Other - Mental Health Services,3,2,66.70%,-,-,-,-,-,2024,4,RTT_2024_APR,
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,X04,Other - Paediatric Services,"3,675","2,147",58.40%,14.3,35.6,16,-,1,2024,4,RTT_2024_APR,
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,X05,Other - Surgical Services,"9,235","4,645",50.30%,17.8,46.3,464,14,133,2024,4,RTT_2024_APR,
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,X06,Other - Other Services,580,431,74.30%,6.7,32.2,1,-,-,2024,4,RTT_2024_APR,
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_100,General Surgery Service,"1,862",684,36.70%,24,60.3,261,2,77,2024,4,RTT_2024_APR,
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_101,Urology Service,"7,879","3,374",42.80%,21.8,61,"1,371",8,379,2024,4,RTT_2024_APR,
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_110,Trauma and Orthopaedic Service,"5,401","3,123",57.80%,13.8,44.4,241,10,74,2024,4,RTT_2024_APR,
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_120,Ear Nose and Throat Service,"10,546","5,657",53.60%,15.5,55.1,"1,009",13,323,2024,4,RTT_2024_APR,
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_130,Ophthalmology Service,"4,837","3,508",72.50%,9.6,32.9,53,-,8,2024,4,RTT_2024_APR,
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_140,Oral Surgery Service,3,1,33.30%,-,-,-,-,-,2024,4,RTT_2024_APR,
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_150,Neurosurgical Service,1,1,100.00%,-,-,-,-,-,2024,4,RTT_2024_APR,
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_160,Plastic Surgery Service,"3,128","1,520",48.60%,19.3,56.4,332,9,107,2024,4,RTT_2024_APR,
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_170,Cardiothoracic Surgery Service,10,10,100.00%,-,-,-,-,-,2024,4,RTT_2024_APR,
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_300,General Internal Medicine Service,101,64,63.40%,7.8,44,4,-,-,2024,4,RTT_2024_APR,
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_301,Gastroenterology Service,"4,114","2,646",64.30%,11.6,38.7,68,-,9,2024,4,RTT_2024_APR,
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_320,Cardiology Service,"5,322","3,465",65.10%,12.1,34.6,52,-,4,2024,4,RTT_2024_APR,
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_330,Dermatology Service,"8,252","5,205",63.10%,12.4,37.5,29,-,4,2024,4,RTT_2024_APR,
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_340,Respiratory Medicine Service,"4,560","2,928",64.20%,12,40,74,1,6,2024,4,RTT_2024_APR,
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_400,Neurology Service,"3,915","2,123",54.20%,15.9,36.8,4,-,-,2024,4,RTT_2024_APR,
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_410,Rheumatology Service,"2,345","1,416",60.40%,13.5,39.6,10,-,1,2024,4,RTT_2024_APR,
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_430,Elderly Medicine Service,137,67,48.90%,18.8,40,2,-,-,2024,4,RTT_2024_APR,
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_502,Gynaecology Service,"6,448","3,208",49.80%,18.2,50.5,462,14,129,2024,4,RTT_2024_APR,
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,X02,Other - Medical Services,"13,097","8,470",64.70%,12.1,37.9,220,1,28,2024,4,RTT_2024_APR,
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,X03,Other - Mental Health Services,-,-,-,-,-,-,-,-,2024,4,RTT_2024_APR,
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,X04,Other - Paediatric Services,"4,816","2,637",54.80%,15,52.5,402,1,83,2024,4,RTT_2024_APR,
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,X05,Other - Surgical Services,"16,433","9,063",55.20%,14.9,45.7,643,17,114,2024,4,RTT_2024_APR,
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,X06,Other - Other Services,"1,987","1,102",55.50%,14.8,50.8,145,1,32,2024,4,RTT_2024_APR,
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_100,General Surgery Service,-,-,-,-,-,-,-,-,2024,4,RTT_2024_APR,
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_101,Urology Service,90,60,66.70%,13.4,32.4,1,-,-,2024,4,RTT_2024_APR,
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_110,Trauma and Orthopaedic Service,"6,070","4,161",68.60%,10.8,36.3,75,-,5,2024,4,RTT_2024_APR,
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_120,Ear Nose and Throat Service,-,-,-,-,-,-,-,-,2024,4,RTT_2024_APR,
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_130,Ophthalmology Service,-,-,-,-,-,-,-,-,2024,4,RTT_2024_APR,
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_140,Oral Surgery Service,-,-,-,-,-,-,-,-,2024,4,RTT_2024_APR,
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_150,Neurosurgical Service,-,-,-,-,-,-,-,-,2024,4,RTT_2024_APR,
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_160,Plastic Surgery Service,2,-,-,-,-,-,-,-,2024,4,RTT_2024_APR,
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_170,Cardiothoracic Surgery Service,-,-,-,-,-,-,-,-,2024,4,RTT_2024_APR,
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_300,General Internal Medicine Service,-,-,-,-,-,-,-,-,2024,4,RTT_2024_APR,
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_301,Gastroenterology Service,7,5,71.40%,-,-,-,-,-,2024,4,RTT_2024_APR,
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_320,Cardiology Service,-,-,-,-,-,-,-,-,2024,4,RTT_2024_APR,
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_330,Dermatology Service,-,-,-,-,-,-,-,-,2024,4,RTT_2024_APR,
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_340,Respiratory Medicine Service,-,-,-,-,-,-,-,-,2024,4,RTT_2024_APR,
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_400,Neurology Service,-,-,-,-,-,-,-,-,2024,4,RTT_2024_APR,
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_410,Rheumatology Service,135,106,78.50%,9.4,24.6,-,-,-,2024,4,RTT_2024_APR,
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_430,Elderly Medicine Service,-,-,-,-,-,-,-,-,2024,4,RTT_2024_APR,
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_502,Gynaecology Service,-,-,-,-,-,-,-,-,2024,4,RTT_2024_APR,
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,X02,Other - Medical Services,"1,260",731,58.00%,14.3,40,4,-,-,2024,4,RTT_2024_APR,
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,X03,Other - Mental Health Services,32,32,100.00%,4.3,8.2,-,-,-,2024,4,RTT_2024_APR,
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,X04,Other - Paediatric Services,620,449,72.40%,10.2,31.5,4,-,-,2024,4,RTT_2024_APR,
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,X05,Other - Surgical Services,-,-,-,-,-,-,-,-,2024,4,RTT_2024_APR,
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,X06,Other - Other Services,51,44,86.30%,6.6,30.9,-,-,-,2024,4,RTT_2024_APR,
Y56,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,C_100,General Surgery Service,"1,338",554,41.40%,21.8,46.3,51,5,17,2024,4,RTT_2024_APR,
Y56,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,C_101,Urology Service,"1,645","1,236",75.10%,9.6,29.3,10,1,2,2024,4,RTT_2024_APR,
Y56,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,C_110,Trauma and Orthopaedic Service,"1,593","1,141",71.60%,9.3,33,17,1,4,2024,4,RTT_2024_APR,
Y56,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,C_120,Ear Nose and Throat Service,-,-,-,-,-,-,-,-,2024,4,RTT_2024_APR,
Y56,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,C_130,Ophthalmology Service,900,825,91.70%,6.7,19,1,-,-,2024,4,RTT_2024_APR,
Y56,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,C_140,Oral Surgery Service,-,-,-,-,-,-,-,-,2024,4,RTT_2024_APR,
Y56,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,C_150,Neurosurgical Service,-,-,-,-,-,-,-,-,2024,4,RTT_2024_APR,
Y56,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,C_160,Plastic Surgery Service,-,-,-,-,-,-,-,-,2024,4,RTT_2024_APR,
Y56,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,C_170,Cardiothoracic Surgery Service,-,-,-,-,-,-,-,-,2024,4,RTT_2024_APR,
Y56,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,C_300,General Internal Medicine Service,106,105,99.10%,3.5,11.3,-,-,-,2024,4,RTT_2024_APR,
Y56,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,C_301,Gastroenterology Service,"2,747","1,494",54.40%,15.4,39.8,38,-,1,2024,4,RTT_2024_APR,
Y56,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,C_320,Cardiology Service,"1,358","1,193",87.80%,7.7,21.6,-,-,-,2024,4,RTT_2024_APR,
Y56,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,C_330,Dermatology Service,"1,414","1,226",86.70%,5.2,22.4,5,-,2,2024,4,RTT_2024_APR,
Y56,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,C_340,Respiratory Medicine Service,"1,452",982,67.60%,11.8,30.9,3,-,-,2024,4,RTT_2024_APR,
Y56,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,C_400,Neurology Service,"1,056",656,62.10%,14.1,31.4,3,-,-,2024,4,RTT_2024_APR,
Y56,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,C_410,Rheumatology Service,410,349,85.10%,8.1,22.8,-,-,-,2024,4,RTT_2024_APR,
Y56,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,C_430,Elderly Medicine Service,22,22,100.00%,3.2,8.6,-,-,-,2024,4,RTT_2024_APR,
Y56,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,C_502,Gynaecology Service,"2,075","1,278",61.60%,12.6,36.4,26,-,6,2024,4,RTT_2024_APR,
Y56,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,X02,Other - Medical Services,"4,977","3,581",72.00%,10,34,15,-,4,2024,4,RTT_2024_APR,
Y56,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,X03,Other - Mental Health Services,-,-,-,-,-,-,-,-,2024,4,RTT_2024_APR,
Y56,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,X04,Other - Paediatric Services,642,524,81.60%,8,29.9,3,-,-,2024,4,RTT_2024_APR,
Y56,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,X05,Other - Surgical Services,"2,201","1,308",59.40%,12.4,41.5,85,2,19,2024,4,RTT_2024_APR,
Y56,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,X06,Other - Other Services,286,274,95.80%,7.7,15.3,-,-,-,2024,4,RTT_2024_APR,
Y56,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,C_100,General Surgery Service,"1,264",581,46.00%,20.1,48,64,-,4,2024,4,RTT_2024_APR,
Y56,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,C_101,Urology Service,"1,557",602,38.70%,23.1,45.5,55,-,2,2024,4,RTT_2024_APR,
Y56,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,C_110,Trauma and Orthopaedic Service,"4,057","1,372",33.80%,23.9,45.4,124,-,-,2024,4,RTT_2024_APR,
Y56,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,C_120,Ear Nose and Throat Service,"2,278",609,26.70%,29,46.6,50,-,-,2024,4,RTT_2024_APR,
Y56,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,C_130,Ophthalmology Service,"1,968","1,236",62.80%,13.2,32.5,4,-,-,2024,4,RTT_2024_APR,
Y56,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,C_140,Oral Surgery Service,"1,885","1,153",61.20%,13,33.9,1,-,-,2024,4,RTT_2024_APR,
Y56,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,C_150,Neurosurgical Service,-,-,-,-,-,-,-,-,2024,4,RTT_2024_APR,
Y56,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,C_160,Plastic Surgery Service,13,4,30.80%,-,-,1,-,-,2024,4,RTT_2024_APR,
Y56,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,C_170,Cardiothoracic Surgery Service,-,-,-,-,-,-,-,-,2024,4,RTT_2024_APR,
Y56,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,C_300,General Internal Medicine Service,26,23,88.50%,7.8,19.9,-,-,-,2024,4,RTT_2024_APR,
Y56,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,C_301,Gastroenterology Service,896,537,59.90%,13.7,35.4,7,-,-,2024,4,RTT_2024_APR,
Y56,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,C_320,Cardiology Service,"1,258",797,63.40%,13.2,38.1,11,-,-,2024,4,RTT_2024_APR,
Y56,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,C_330,Dermatology Service,"1,357","1,076",79.30%,10.1,27.8,-,-,-,2024,4,RTT_2024_APR,
Y56,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,C_340,Respiratory Medicine Service,"1,491",915,61.40%,13,33.9,18,-,-,2024,4,RTT_2024_APR,
Y56,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,C_400,Neurology Service,630,194,30.80%,27.5,49.7,32,-,-,2024,4,RTT_2024_APR,
Y56,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,C_410,Rheumatology Service,756,145,19.20%,31.2,46.1,21,-,-,2024,4,RTT_2024_APR,
Y56,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,C_430,Elderly Medicine Service,328,234,71.30%,8.1,37.4,5,-,-,2024,4,RTT_2024_APR,
Y56,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,C_502,Gynaecology Service,"1,618","1,131",69.90%,11.2,33.1,2,-,-,2024,4,RTT_2024_APR,
Y56,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,X02,Other - Medical Services,"3,530","2,189",62.00%,13.1,39.4,52,-,-,2024,4,RTT_2024_APR,
Y56,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,X03,Other - Mental Health Services,-,-,-,-,-,-,-,-,2024,4,RTT_2024_APR,
Y56,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,X04,Other - Paediatric Services,908,614,67.60%,11.1,31.1,5,-,-,2024,4,RTT_2024_APR,
Y56,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,X05,Other - Surgical Services,"2,230","1,225",54.90%,15.5,40.1,22,-,1,2024,4,RTT_2024_APR,
Y56,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,X06,Other - Other Services,"1,020",621,60.90%,10.8,39.8,18,-,-,2024,4,RTT_2024_APR,
Y56,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,C_100,General Surgery Service,"1,223",685,56.00%,15.3,37.8,5,-,-,2024,4,RTT_2024_APR,
Y56,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,C_101,Urology Service,"1,564","1,169",74.70%,9.7,29.9,3,-,-,2024,4,RTT_2024_APR,
Y56,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,C_110,Trauma and Orthopaedic Service,"3,224","1,734",53.80%,16.3,37.5,3,-,-,2024,4,RTT_2024_APR,
Y56,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,C_120,Ear Nose and Throat Service,"4,632","2,915",62.90%,12.7,31.5,1,-,-,2024,4,RTT_2024_APR,
Y56,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,C_130,Ophthalmology Service,"4,633","3,428",74.00%,9.7,33,3,-,-,2024,4,RTT_2024_APR,
Y56,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,C_140,Oral Surgery Service,"1,283",949,74.00%,9.3,32,-,-,-,2024,4,RTT_2024_APR,
Y56,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,C_150,Neurosurgical Service,-,-,-,-,-,-,-,-,2024,4,RTT_2024_APR,
Y56,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,C_160,Plastic Surgery Service,303,215,71.00%,11,42.2,2,-,-,2024,4,RTT_2024_APR,
Y56,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,C_170,Cardiothoracic Surgery Service,-,-,-,-,-,-,-,-,2024,4,RTT_2024_APR,
Y56,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,C_300,General Internal Medicine Service,547,80,14.60%,34.3,59.7,69,-,-,2024,4,RTT_2024_APR,
Y56,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,C_301,Gastroenterology Service,"2,413","1,388",57.50%,14.9,37.7,1,-,1,2024,4,RTT_2024_APR,
Y56,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,C_320,Cardiology Service,"1,432","1,021",71.30%,12.5,31.8,1,1,1,2024,4,RTT_2024_APR,
