Region Code,Provider Code,Provider Name,Treatment Function Code,Treatment Function,Total number of incomplete pathways,Total within 18 weeks,% within 18 weeks,Average (median) waiting time (in weeks),92nd percentile waiting time (in weeks),Total 52 plus weeks,Total 78 plus weeks,Total 65 plus weeks
Y56,R1H,BARTS HEALTH NHS TRUST,C_100,General Surgery Service,"4,102","2,188",53.30%,16.6,45.6,170,3,20
Y56,R1H,BARTS HEALTH NHS TRUST,C_101,Urology Service,"5,562","2,899",52.10%,17,45.6,199,1,19
Y56,R1H,BARTS HEALTH NHS TRUST,C_110,Trauma and Orthopaedic Service,"8,123","4,400",54.20%,16.3,42.1,190,-,7
Y56,R1H,BARTS HEALTH NHS TRUST,C_120,Ear Nose and Throat Service,"7,078","3,286",46.40%,19.6,50.7,500,5,70
Y56,R1H,BARTS HEALTH NHS TRUST,C_130,Ophthalmology Service,"4,781","3,329",69.60%,12.1,33.3,18,-,2
Y56,R1H,BARTS HEALTH NHS TRUST,C_140,Oral Surgery Service,"6,568","3,049",46.40%,19.4,48.5,340,4,33
Y56,R1H,BARTS HEALTH NHS TRUST,C_150,Neurosurgical Service,"1,294",881,68.10%,11.1,33.8,10,-,1
Y56,R1H,BARTS HEALTH NHS TRUST,C_160,Plastic Surgery Service,"1,276",677,53.10%,17.2,45.9,41,-,2
Y56,R1H,BARTS HEALTH NHS TRUST,C_170,Cardiothoracic Surgery Service,6,6,100.00%,-,-,-,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,C_300,General Internal Medicine Service,33,22,66.70%,16.1,33.4,-,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,C_301,Gastroenterology Service,"7,497","3,837",51.20%,17.5,41.9,168,-,2
Y56,R1H,BARTS HEALTH NHS TRUST,C_320,Cardiology Service,"9,691","6,405",66.10%,12.5,33.7,16,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,C_330,Dermatology Service,"6,363","3,079",48.40%,18.7,44.1,63,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,C_340,Respiratory Medicine Service,"6,752","3,678",54.50%,16.4,42,110,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,C_400,Neurology Service,"2,524","1,219",48.30%,18.8,42.8,13,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,C_410,Rheumatology Service,"1,413","1,131",80.00%,9.7,28.9,2,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,C_430,Elderly Medicine Service,568,371,65.30%,11.4,36.3,-,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,C_502,Gynaecology Service,"10,763","5,320",49.40%,18.3,44.2,316,-,22
Y56,R1H,BARTS HEALTH NHS TRUST,X02,Other - Medical Services,"19,267","11,373",59.00%,14.1,42.3,481,-,11
Y56,R1H,BARTS HEALTH NHS TRUST,X03,Other - Mental Health Services,-,-,-,-,-,-,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,X04,Other - Paediatric Services,"8,917","4,607",51.70%,17.3,45.5,307,2,27
Y56,R1H,BARTS HEALTH NHS TRUST,X05,Other - Surgical Services,"14,343","8,176",57.00%,15,44.6,411,2,20
Y56,R1H,BARTS HEALTH NHS TRUST,X06,Other - Other Services,776,563,72.60%,7.7,36.9,10,-,3
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_100,General Surgery Service,"2,688","1,630",60.60%,14.2,43.9,91,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_101,Urology Service,"4,019","2,300",57.20%,14.9,43.7,91,-,1
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_110,Trauma and Orthopaedic Service,"7,521","3,152",41.90%,21.6,50.5,530,-,75
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_120,Ear Nose and Throat Service,"7,644","2,524",33.00%,25.8,50,435,-,10
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_130,Ophthalmology Service,"2,397","1,251",52.20%,16.9,44.5,26,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_140,Oral Surgery Service,"6,831","3,533",51.70%,17.2,43.9,244,-,4
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_150,Neurosurgical Service,-,-,-,-,-,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_160,Plastic Surgery Service,63,50,79.40%,14.2,39,2,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_170,Cardiothoracic Surgery Service,-,-,-,-,-,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_300,General Internal Medicine Service,14,6,42.90%,-,-,1,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_301,Gastroenterology Service,"9,667","5,134",53.10%,16.7,46.7,395,-,7
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_320,Cardiology Service,"10,974","4,893",44.60%,20.1,51.9,870,-,21
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_330,Dermatology Service,"5,603","1,992",35.60%,24.6,47.5,233,-,3
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_340,Respiratory Medicine Service,"4,023","1,992",49.50%,18.2,46.1,122,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_400,Neurology Service,"2,908","1,364",46.90%,19.3,43.4,21,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_410,Rheumatology Service,657,545,83.00%,7.4,24.2,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_430,Elderly Medicine Service,81,32,39.50%,34.7,43.8,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_502,Gynaecology Service,"3,846","1,882",48.90%,18.4,42.7,81,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,X02,Other - Medical Services,"11,479","7,256",63.20%,13.3,36.6,109,-,1
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,X03,Other - Mental Health Services,26,12,46.20%,18.5,41,1,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,X04,Other - Paediatric Services,"3,200","1,819",56.80%,15.3,44.6,91,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,X05,Other - Surgical Services,"8,490","4,884",57.50%,15,39.6,120,-,1
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,X06,Other - Other Services,17,16,94.10%,-,-,-,-,-
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_100,General Surgery Service,"3,456","1,483",42.90%,21.8,49.8,195,-,4
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_101,Urology Service,"9,588","4,787",49.90%,18,49.7,590,1,40
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_110,Trauma and Orthopaedic Service,"10,203","5,846",57.30%,15.4,40.5,178,3,15
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_120,Ear Nose and Throat Service,"11,533","5,726",49.60%,18.2,48.3,594,11,47
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_130,Ophthalmology Service,"6,713","4,736",70.50%,10.7,33.4,20,-,-
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_140,Oral Surgery Service,3,1,33.30%,-,-,-,-,-
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_150,Neurosurgical Service,-,-,-,-,-,-,-,-
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_160,Plastic Surgery Service,"2,947","1,468",49.80%,18.1,51.8,229,7,37
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_170,Cardiothoracic Surgery Service,-,-,-,-,-,-,-,-
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_300,General Internal Medicine Service,249,187,75.10%,8.4,34.4,-,-,-
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_301,Gastroenterology Service,"7,493","4,464",59.60%,14.2,41.2,138,-,2
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_320,Cardiology Service,"8,311","5,281",63.50%,13.6,32.6,7,-,-
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_330,Dermatology Service,"11,981","6,738",56.20%,15.6,42.3,91,-,2
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_340,Respiratory Medicine Service,"6,209","3,880",62.50%,14.2,41,72,-,-
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_400,Neurology Service,"4,882","2,501",51.20%,17.6,44.1,72,-,-
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_410,Rheumatology Service,"3,617","2,195",60.70%,14.5,38.7,1,-,-
