Region Code,Provider Code,Provider Name,Treatment Function Code,Treatment Function,Total number of incomplete pathways,Total within 18 weeks,% within 18 weeks,Average (median) waiting time (in weeks),92nd percentile waiting time (in weeks),Total 52 plus weeks,Total 78 plus weeks,Total 65 plus weeks
Y56,R1H,BARTS HEALTH NHS TRUST,C_100,General Surgery Service,"3,477","1,775",51.00%,17.5,52,279,11,97
Y56,R1H,BARTS HEALTH NHS TRUST,C_101,Urology Service,"5,885","2,678",45.50%,20.5,52.3,482,11,126
Y56,R1H,BARTS HEALTH NHS TRUST,C_110,Trauma and Orthopaedic Service,"7,230","3,821",52.80%,16.4,52.2,584,22,212
Y56,R1H,BARTS HEALTH NHS TRUST,C_120,Ear Nose and Throat Service,"5,686","2,983",52.50%,16.8,51.8,448,28,196
Y56,R1H,BARTS HEALTH NHS TRUST,C_130,Ophthalmology Service,"5,232","3,221",61.60%,13.9,36.5,59,-,3
Y56,R1H,BARTS HEALTH NHS TRUST,C_140,Oral Surgery Service,"7,194","2,917",40.50%,23.7,56.1,738,42,287
Y56,R1H,BARTS HEALTH NHS TRUST,C_150,Neurosurgical Service,"1,304",721,55.30%,15.9,50.1,93,6,34
Y56,R1H,BARTS HEALTH NHS TRUST,C_160,Plastic Surgery Service,"1,285",609,47.40%,19.6,49.8,91,1,26
Y56,R1H,BARTS HEALTH NHS TRUST,C_170,Cardiothoracic Surgery Service,353,290,82.20%,12.5,24,3,1,1
Y56,R1H,BARTS HEALTH NHS TRUST,C_300,General Internal Medicine Service,22,12,54.50%,13,41.1,-,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,C_301,Gastroenterology Service,"7,458","4,198",56.30%,15.5,48.2,480,2,95
Y56,R1H,BARTS HEALTH NHS TRUST,C_320,Cardiology Service,"8,674","5,869",67.70%,12.2,32.5,45,4,11
Y56,R1H,BARTS HEALTH NHS TRUST,C_330,Dermatology Service,"8,699","3,949",45.40%,20.5,66,"1,530",41,753
Y56,R1H,BARTS HEALTH NHS TRUST,C_340,Respiratory Medicine Service,"4,342","1,991",45.90%,20,47.9,200,2,85
