Region Code,Provider Code,Provider Name,Treatment Function Code,Treatment Function,Total number of incomplete pathways,Total within 18 weeks,% within 18 weeks,Average (median) waiting time (in weeks),92nd percentile waiting time (in weeks),Total 52 plus weeks,Total 78 plus weeks,Total 65 plus weeks
Y56,R1H,BARTS HEALTH NHS TRUST,C_100,General Surgery Service,"3,403","1,672",49.10%,18.5,53,299,17,101
Y56,R1H,BARTS HEALTH NHS TRUST,C_101,Urology Service,"6,069","2,855",47.00%,19.2,53.3,552,22,160
Y56,R1H,BARTS HEALTH NHS TRUST,C_110,Trauma and Orthopaedic Service,"7,515","4,172",55.50%,15.6,48.4,438,31,163
Y56,R1H,BARTS HEALTH NHS TRUST,C_120,Ear Nose and Throat Service,"6,414","3,026",47.20%,19.3,53.9,595,54,226
Y56,R1H,BARTS HEALTH NHS TRUST,C_130,Ophthalmology Service,"5,030","3,093",61.50%,13.8,37.4,37,-,5
Y56,R1H,BARTS HEALTH NHS TRUST,C_140,Oral Surgery Service,"7,333","2,838",38.70%,25,58.9,916,106,348
Y56,R1H,BARTS HEALTH NHS TRUST,C_150,Neurosurgical Service,"1,330",762,57.30%,15.2,50.1,92,8,44
Y56,R1H,BARTS HEALTH NHS TRUST,C_160,Plastic Surgery Service,"1,163",566,48.70%,19.1,52.6,101,6,37
Y56,R1H,BARTS HEALTH NHS TRUST,C_170,Cardiothoracic Surgery Service,6,4,66.70%,-,-,-,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,C_300,General Internal Medicine Service,15,9,60.00%,-,-,-,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,C_301,Gastroenterology Service,"8,009","4,154",51.90%,17.1,45.1,378,2,98
Y56,R1H,BARTS HEALTH NHS TRUST,C_320,Cardiology Service,"8,948","5,845",65.30%,12.6,34.7,29,1,2
Y56,R1H,BARTS HEALTH NHS TRUST,C_330,Dermatology Service,"6,313","2,791",44.20%,20.8,59.4,775,46,377
Y56,R1H,BARTS HEALTH NHS TRUST,C_340,Respiratory Medicine Service,"5,003","2,623",52.40%,16.6,52.3,410,8,77
Y56,R1H,BARTS HEALTH NHS TRUST,C_400,Neurology Service,"2,145","1,099",51.20%,17.5,42.3,68,-,22
Y56,R1H,BARTS HEALTH NHS TRUST,C_410,Rheumatology Service,885,768,86.80%,7,23.6,2,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,C_430,Elderly Medicine Service,162,132,81.50%,7.3,24.3,-,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,C_502,Gynaecology Service,"10,528","5,149",48.90%,18.5,50.4,743,26,221
Y56,R1H,BARTS HEALTH NHS TRUST,X02,Other - Medical Services,"15,718","10,000",63.60%,12.7,35.6,260,11,57
Y56,R1H,BARTS HEALTH NHS TRUST,X03,Other - Mental Health Services,-,-,-,-,-,-,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,X04,Other - Paediatric Services,"8,921","4,438",49.70%,18.1,50.5,594,23,141
Y56,R1H,BARTS HEALTH NHS TRUST,X05,Other - Surgical Services,"13,229","7,518",56.80%,14.5,48.4,808,65,332
Y56,R1H,BARTS HEALTH NHS TRUST,X06,Other - Other Services,785,492,62.70%,10.3,49.2,39,1,8
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_100,General Surgery Service,"3,056","1,457",47.70%,18.9,47.8,154,2,37
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_101,Urology Service,"3,907","1,884",48.20%,18.7,42.4,94,-,10
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_110,Trauma and Orthopaedic Service,"7,565","3,066",40.50%,21.7,49.1,467,9,117
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_120,Ear Nose and Throat Service,"8,296","2,791",33.60%,25.7,61,"1,063",114,501
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_130,Ophthalmology Service,"1,957","1,094",55.90%,15.4,40.8,15,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_140,Oral Surgery Service,"9,574","3,608",37.70%,24.6,54,"1,013",14,217
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_150,Neurosurgical Service,-,-,-,-,-,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_160,Plastic Surgery Service,22,17,77.30%,7,31.2,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_170,Cardiothoracic Surgery Service,-,-,-,-,-,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_300,General Internal Medicine Service,63,44,69.80%,13.5,25,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_301,Gastroenterology Service,"8,861","5,037",56.80%,15.6,37.9,126,-,8
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_320,Cardiology Service,"7,481","4,400",58.80%,15.1,37,20,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_330,Dermatology Service,"5,848","2,463",42.10%,20.9,43.2,19,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_340,Respiratory Medicine Service,"3,246","1,760",54.20%,16.1,37.6,17,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_400,Neurology Service,"3,845","1,547",40.20%,21.7,41.8,3,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_410,Rheumatology Service,"1,008",788,78.20%,9.9,27.2,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_430,Elderly Medicine Service,17,17,100.00%,-,-,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_502,Gynaecology Service,"6,163","2,485",40.30%,22.1,54.1,608,19,236
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,X02,Other - Medical Services,"12,704","7,902",62.20%,13.8,35.6,53,4,11
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,X03,Other - Mental Health Services,23,19,82.60%,9.5,24.2,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,X04,Other - Paediatric Services,"2,123","1,219",57.40%,15.7,34.3,3,-,1
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,X05,Other - Surgical Services,"9,709","4,845",49.90%,18,47.4,521,49,220
