Region Code,Provider Code,Provider Name,Treatment Function Code,Treatment Function,Total number of incomplete pathways,Total within 18 weeks,% within 18 weeks,Average (median) waiting time (in weeks),92nd percentile waiting time (in weeks),Total 52 plus weeks,Total 78 plus weeks,Total 65 plus weeks
Y56,R1H,BARTS HEALTH NHS TRUST,C_100,General Surgery Service,"3,189","1,561",48.90%,18.5,53.9,298,15,94
Y56,R1H,BARTS HEALTH NHS TRUST,C_101,Urology Service,"6,182","2,861",46.30%,20,54,576,18,168
Y56,R1H,BARTS HEALTH NHS TRUST,C_110,Trauma and Orthopaedic Service,"7,389","3,993",54.00%,16.3,48.4,427,29,123
Y56,R1H,BARTS HEALTH NHS TRUST,C_120,Ear Nose and Throat Service,"6,608","3,106",47.00%,19.8,54.7,681,40,208
Y56,R1H,BARTS HEALTH NHS TRUST,C_130,Ophthalmology Service,"5,065","3,090",61.00%,14.5,37.3,39,1,4
Y56,R1H,BARTS HEALTH NHS TRUST,C_140,Oral Surgery Service,"7,221","2,837",39.30%,24.1,57.4,907,87,311
Y56,R1H,BARTS HEALTH NHS TRUST,C_150,Neurosurgical Service,"1,268",668,52.70%,16.6,52.1,102,7,41
Y56,R1H,BARTS HEALTH NHS TRUST,C_160,Plastic Surgery Service,"1,160",518,44.70%,20.3,53.6,107,2,31
Y56,R1H,BARTS HEALTH NHS TRUST,C_170,Cardiothoracic Surgery Service,9,7,77.80%,-,-,-,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,C_300,General Internal Medicine Service,17,11,64.70%,-,-,-,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,C_301,Gastroenterology Service,"8,111","4,161",51.30%,17.3,46.5,331,1,85
Y56,R1H,BARTS HEALTH NHS TRUST,C_320,Cardiology Service,"9,196","5,976",65.00%,12.6,34.3,29,1,1
Y56,R1H,BARTS HEALTH NHS TRUST,C_330,Dermatology Service,"6,275","2,889",46.00%,20.3,54.8,618,23,173
Y56,R1H,BARTS HEALTH NHS TRUST,C_340,Respiratory Medicine Service,"5,219","2,842",54.50%,15.8,52.9,461,4,92
Y56,R1H,BARTS HEALTH NHS TRUST,C_400,Neurology Service,"2,210","1,124",50.90%,17.7,42.4,70,-,16
Y56,R1H,BARTS HEALTH NHS TRUST,C_410,Rheumatology Service,976,852,87.30%,5.7,24.8,2,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,C_430,Elderly Medicine Service,145,103,71.00%,10.7,28.1,-,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,C_502,Gynaecology Service,"10,227","5,108",49.90%,18,50.2,691,21,195
Y56,R1H,BARTS HEALTH NHS TRUST,X02,Other - Medical Services,"16,279","10,055",61.80%,13.1,36.6,276,6,47
Y56,R1H,BARTS HEALTH NHS TRUST,X03,Other - Mental Health Services,-,-,-,-,-,-,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,X04,Other - Paediatric Services,"8,832","4,401",49.80%,18.1,50.8,604,14,143
Y56,R1H,BARTS HEALTH NHS TRUST,X05,Other - Surgical Services,"13,261","7,470",56.30%,14.9,48.7,765,59,315
Y56,R1H,BARTS HEALTH NHS TRUST,X06,Other - Other Services,807,498,61.70%,10.2,51.1,62,1,10
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_100,General Surgery Service,"2,971","1,462",49.20%,18.4,49,178,1,51
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_101,Urology Service,"4,134","2,039",49.30%,18.3,42.9,114,-,11
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_110,Trauma and Orthopaedic Service,"8,055","3,155",39.20%,22.8,49.5,535,11,141
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_120,Ear Nose and Throat Service,"8,134","2,848",35.00%,24.7,57.7,"1,009",90,415
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_130,Ophthalmology Service,"2,092","1,229",58.70%,14.3,41,25,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_140,Oral Surgery Service,"9,612","3,842",40.00%,23.4,53.6,881,9,217
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_150,Neurosurgical Service,-,-,-,-,-,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_160,Plastic Surgery Service,31,26,83.90%,5.9,32.5,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_170,Cardiothoracic Surgery Service,-,-,-,-,-,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_300,General Internal Medicine Service,64,33,51.60%,17,28.9,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_301,Gastroenterology Service,"8,789","5,231",59.50%,14.6,37.7,146,1,7
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_320,Cardiology Service,"8,127","4,612",56.70%,16,37,37,-,1
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_330,Dermatology Service,"6,142","2,651",43.20%,20.8,43.2,51,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_340,Respiratory Medicine Service,"3,578","1,978",55.30%,15.7,37.2,12,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_400,Neurology Service,"3,935","1,579",40.10%,22.2,41.2,9,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_410,Rheumatology Service,963,766,79.50%,7.9,27,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_430,Elderly Medicine Service,31,31,100.00%,1.2,6.3,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_502,Gynaecology Service,"7,303","3,481",47.70%,19.1,50.9,539,16,143
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,X02,Other - Medical Services,"11,968","7,216",60.30%,14,37,57,2,10
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,X03,Other - Mental Health Services,7,5,71.40%,-,-,-,-,-
