Region Code,Provider Code,Provider Name,Treatment Function Code,Treatment Function,Total number of incomplete pathways,Total within 18 weeks,% within 18 weeks,Average (median) waiting time (in weeks),92nd percentile waiting time (in weeks),Total 52 plus weeks,Total 78 plus weeks,Total 65 plus weeks
Y56,R1H,BARTS HEALTH NHS TRUST,C_100,General Surgery Service,"3,542","1,684",47.50%,19.5,51.3,265,16,70
Y56,R1H,BARTS HEALTH NHS TRUST,C_101,Urology Service,"6,490","2,651",40.80%,22.2,50.4,452,9,116
Y56,R1H,BARTS HEALTH NHS TRUST,C_110,Trauma and Orthopaedic Service,"7,487","3,707",49.50%,18.3,54.5,737,35,199
Y56,R1H,BARTS HEALTH NHS TRUST,C_120,Ear Nose and Throat Service,"5,425","2,839",52.30%,16.9,54.9,540,35,172
Y56,R1H,BARTS HEALTH NHS TRUST,C_130,Ophthalmology Service,"5,297","3,407",64.30%,13.1,38.1,58,1,5
Y56,R1H,BARTS HEALTH NHS TRUST,C_140,Oral Surgery Service,"6,643","3,035",45.70%,19.8,52.9,580,25,116
Y56,R1H,BARTS HEALTH NHS TRUST,C_150,Neurosurgical Service,"1,402",688,49.10%,18.4,51.4,108,4,42
Y56,R1H,BARTS HEALTH NHS TRUST,C_160,Plastic Surgery Service,"1,038",620,59.70%,14.5,49,67,-,12
Y56,R1H,BARTS HEALTH NHS TRUST,C_170,Cardiothoracic Surgery Service,"1,072",656,61.20%,13.2,39.7,13,-,3
Y56,R1H,BARTS HEALTH NHS TRUST,C_300,General Internal Medicine Service,31,15,48.40%,21.5,59.8,6,-,1
Y56,R1H,BARTS HEALTH NHS TRUST,C_301,Gastroenterology Service,"7,546","4,279",56.70%,15.2,46.4,355,1,78
Y56,R1H,BARTS HEALTH NHS TRUST,C_320,Cardiology Service,"7,964","5,636",70.80%,11.4,29.8,4,-,1
Y56,R1H,BARTS HEALTH NHS TRUST,C_330,Dermatology Service,"9,282","3,557",38.30%,24.9,61.1,"1,517",4,498
