Region Code,Provider Code,Provider Name,Treatment Function Code,Treatment Function,Total number of incomplete pathways,Total within 18 weeks,% within 18 weeks,Average (median) waiting time (in weeks),92nd percentile waiting time (in weeks),Total 52 plus weeks
Y56,R1H,BARTS HEALTH NHS TRUST,C_100,General Surgery Service,"3,708",,,18.8,,472
Y56,R1H,BARTS HEALTH NHS TRUST,C_101,Urology Service,"7,521",,,18.7,,666
Y56,R1H,BARTS HEALTH NHS TRUST,C_110,Trauma and Orthopaedic Service,"7,714",,,18.2,,846
Y56,R1H,BARTS HEALTH NHS TRUST,C_120,Ear Nose and Throat Service,"4,316",,,21.1,,707
Y56,R1H,BARTS HEALTH NHS TRUST,C_130,Ophthalmology Service,"4,698",,,13.5,,166
Y56,R1H,BARTS HEALTH NHS TRUST,C_140,Oral Surgery Service,"5,947",,,17.7,,302
Y56,R1H,BARTS HEALTH NHS TRUST,C_150,Neurosurgical Service,"1,743",,,16.9,,79
Y56,R1H,BARTS HEALTH NHS TRUST,C_160,Plastic Surgery Service,992,,,19.8,,137
Y56,R1H,BARTS HEALTH NHS TRUST,C_170,Cardiothoracic Surgery Service,900,,,12.3,,17
Y56,R1H,BARTS HEALTH NHS TRUST,C_300,General Internal Medicine Service,64,,,30.3,,9
Y56,R1H,BARTS HEALTH NHS TRUST,C_301,Gastroenterology Service,"5,197",,,13.3,,201
Y56,R1H,BARTS HEALTH NHS TRUST,C_320,Cardiology Service,"6,862",,,10.3,,6
Y56,R1H,BARTS HEALTH NHS TRUST,C_330,Dermatology Service,"6,492",,,17.2,,54
Y56,R1H,BARTS HEALTH NHS TRUST,C_340,Respiratory Medicine Service,"4,761",,,17.2,,214
Y56,R1H,BARTS HEALTH NHS TRUST,C_400,Neurology Service,"1,654",,,10.8,,8
Y56,R1H,BARTS HEALTH NHS TRUST,C_410,Rheumatology Service,793,,,9.1,,21
Y56,R1H,BARTS HEALTH NHS TRUST,C_430,Elderly Medicine Service,92,,,4.5,,0
Y56,R1H,BARTS HEALTH NHS TRUST,C_502,Gynaecology Service,"8,817",,,14.7,,523
Y56,R1H,BARTS HEALTH NHS TRUST,X02,Other - Medical Services,"13,824",,,12.1,,373
Y56,R1H,BARTS HEALTH NHS TRUST,X03,Other - Mental Health Services, -   ,,,-,,0
Y56,R1H,BARTS HEALTH NHS TRUST,X04,Other - Paediatric Services,"10,725",,,16.3,,816
Y56,R1H,BARTS HEALTH NHS TRUST,X05,Other - Surgical Services,"13,791",,,18.4,,"1,318"
Y56,R1H,BARTS HEALTH NHS TRUST,X06,Other - Other Services,"1,003",,,11.4,,70
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_100,General Surgery Service,"9,081","6,462",71.20%,11.4,35.8,208
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_101,Urology Service,"2,764","1,910",69.10%,12.6,35.6,30
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_110,Trauma and Orthopaedic Service,"3,787","2,522",66.60%,12.7,36,62
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_120,Ear Nose and Throat Service,"8,661","4,964",57.30%,15.5,38,123
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_130,Ophthalmology Service,"1,553",992,63.90%,12.9,39.2,8
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_140,Oral Surgery Service,"8,425","4,651",55.20%,16,38.6,94
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_150,Neurosurgical Service, -   , -   ,,-,-,0
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_160,Plastic Surgery Service,7,7,100.00%,-,-,0
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_170,Cardiothoracic Surgery Service, -   , -   ,,-,-,0
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_300,General Internal Medicine Service,25,25,100.00%,2.4,12,0
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_301,Gastroenterology Service,"3,722","2,522",67.80%,13.6,31.2,2
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_320,Cardiology Service,"3,469","2,899",83.60%,8.5,21.9,0
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_330,Dermatology Service,"3,122","2,770",88.70%,7.2,20.9,1
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_340,Respiratory Medicine Service,"1,274","1,163",91.30%,8.3,18.4,0
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_400,Neurology Service,"2,585","1,428",55.20%,16.3,38.5,0
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_410,Rheumatology Service,722,717,99.30%,6.4,13.9,0
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_430,Elderly Medicine Service,55,55,100.00%,2.8,10.5,0
