Region Code,Provider Code,Provider Name,Treatment Function Code,Treatment Function,Total number of incomplete pathways,Total within 18 weeks,% within 18 weeks,Average (median) waiting time (in weeks),92nd percentile waiting time (in weeks),Total 52 plus weeks
Y56,R1H,BARTS HEALTH NHS TRUST,C_100,General Surgery Service,"3,634",,,18.8,,449
Y56,R1H,BARTS HEALTH NHS TRUST,C_101,Urology Service,"7,641",,,16.9,,604
Y56,R1H,BARTS HEALTH NHS TRUST,C_110,Trauma and Orthopaedic Service,"7,957",,,18.3,,838
Y56,R1H,BARTS HEALTH NHS TRUST,C_120,Ear Nose and Throat Service,"4,415",,,20.7,,744
Y56,R1H,BARTS HEALTH NHS TRUST,C_130,Ophthalmology Service,"4,587",,,12.7,,130
Y56,R1H,BARTS HEALTH NHS TRUST,C_140,Oral Surgery Service,"5,649",,,16.7,,273
Y56,R1H,BARTS HEALTH NHS TRUST,C_150,Neurosurgical Service,"1,641",,,16.9,,59
Y56,R1H,BARTS HEALTH NHS TRUST,C_160,Plastic Surgery Service,"1,002",,,19.9,,138
Y56,R1H,BARTS HEALTH NHS TRUST,C_170,Cardiothoracic Surgery Service,858,,,12.5,,17
Y56,R1H,BARTS HEALTH NHS TRUST,C_300,General Internal Medicine Service,64,,,26.9,,6
Y56,R1H,BARTS HEALTH NHS TRUST,C_301,Gastroenterology Service,"4,898",,,12.6,,175
Y56,R1H,BARTS HEALTH NHS TRUST,C_320,Cardiology Service,"6,905",,,9.9,,3
Y56,R1H,BARTS HEALTH NHS TRUST,C_330,Dermatology Service,"6,380",,,16.7,,52
Y56,R1H,BARTS HEALTH NHS TRUST,C_340,Respiratory Medicine Service,"4,697",,,16.1,,150
Y56,R1H,BARTS HEALTH NHS TRUST,C_400,Neurology Service,"1,632",,,10.2,,6
Y56,R1H,BARTS HEALTH NHS TRUST,C_410,Rheumatology Service,840,,,9.4,,11
Y56,R1H,BARTS HEALTH NHS TRUST,C_430,Elderly Medicine Service,99,,,4.4,,0
Y56,R1H,BARTS HEALTH NHS TRUST,C_502,Gynaecology Service,"8,884",,,14.4,,464
Y56,R1H,BARTS HEALTH NHS TRUST,X02,Other - Medical Services,"13,124",,,12.6,,327
Y56,R1H,BARTS HEALTH NHS TRUST,X03,Other - Mental Health Services, -   ,,,-,,0
Y56,R1H,BARTS HEALTH NHS TRUST,X04,Other - Paediatric Services,"10,341",,,16.1,,790
Y56,R1H,BARTS HEALTH NHS TRUST,X05,Other - Surgical Services,"13,533",,,17.4,,"1,202"
Y56,R1H,BARTS HEALTH NHS TRUST,X06,Other - Other Services,906,,,12,,68
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_100,General Surgery Service,"8,360","6,186",74.00%,10.2,34.6,200
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_101,Urology Service,"2,903","2,071",71.30%,11.7,33.5,30
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_110,Trauma and Orthopaedic Service,"3,690","2,614",70.80%,11.3,35.1,51
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_120,Ear Nose and Throat Service,"8,007","4,972",62.10%,13.8,35.3,99
