Region Code,Provider Code,Provider Name,Treatment Function Code,Treatment Function,Total number of incomplete pathways,Total within 18 weeks,% within 18 weeks,Average (median) waiting time (in weeks),92nd percentile waiting time (in weeks),Total 52 plus weeks,Total 78 plus weeks,Total 65 plus weeks
Y56,R1H,BARTS HEALTH NHS TRUST,C_100,General Surgery Service,"3,616","1,774",49.10%,18.5,52.1,290,22,111
Y56,R1H,BARTS HEALTH NHS TRUST,C_101,Urology Service,"6,731","3,067",45.60%,19.9,49.2,403,12,102
Y56,R1H,BARTS HEALTH NHS TRUST,C_110,Trauma and Orthopaedic Service,"7,293","3,245",44.50%,20.6,54.8,701,49,273
Y56,R1H,BARTS HEALTH NHS TRUST,C_120,Ear Nose and Throat Service,"4,893","2,557",52.30%,16.7,53.8,433,30,168
Y56,R1H,BARTS HEALTH NHS TRUST,C_130,Ophthalmology Service,"4,874","2,956",60.60%,13.2,38.5,78,2,10
Y56,R1H,BARTS HEALTH NHS TRUST,C_140,Oral Surgery Service,"6,370","3,125",49.10%,18.4,49.5,376,7,103
Y56,R1H,BARTS HEALTH NHS TRUST,C_150,Neurosurgical Service,"1,408",641,45.50%,20.2,53.4,122,9,40
Y56,R1H,BARTS HEALTH NHS TRUST,C_160,Plastic Surgery Service,881,473,53.70%,15.9,46.7,47,-,10
Y56,R1H,BARTS HEALTH NHS TRUST,C_170,Cardiothoracic Surgery Service,990,613,61.90%,13.9,38.8,19,-,2
Y56,R1H,BARTS HEALTH NHS TRUST,C_300,General Internal Medicine Service,36,11,30.60%,29,57.1,4,-,2
Y56,R1H,BARTS HEALTH NHS TRUST,C_301,Gastroenterology Service,"6,828","3,918",57.40%,14.7,42.6,323,-,78
Y56,R1H,BARTS HEALTH NHS TRUST,C_320,Cardiology Service,"8,064","5,959",73.90%,10.2,27.4,4,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,C_330,Dermatology Service,"9,000","3,813",42.40%,22,53.5,826,-,30
