Region Code,Provider Code,Provider Name,Treatment Function Code,Treatment Function,Total number of incomplete pathways,Total within 18 weeks,% within 18 weeks,Average (median) waiting time (in weeks),92nd percentile waiting time (in weeks)
Y56,R1H,BARTS HEALTH NHS TRUST,C_100,General Surgery,"2,851",,,24.6,
Y56,R1H,BARTS HEALTH NHS TRUST,C_101,Urology,"4,179",,,21,
Y56,R1H,BARTS HEALTH NHS TRUST,C_110,Trauma & Orthopaedics,"8,140",,,24.8,
Y56,R1H,BARTS HEALTH NHS TRUST,C_120,"Ear, Nose & Throat (ENT)","6,052",,,23.1,
Y56,R1H,BARTS HEALTH NHS TRUST,C_130,Ophthalmology,"4,413",,,24.9,
Y56,R1H,BARTS HEALTH NHS TRUST,C_140,Oral Surgery,"2,368",,,25.4,
Y56,R1H,BARTS HEALTH NHS TRUST,C_150,Neurosurgery,759,,,20.7,
Y56,R1H,BARTS HEALTH NHS TRUST,C_160,Plastic Surgery,967,,,28.6,
Y56,R1H,BARTS HEALTH NHS TRUST,C_170,Cardiothoracic Surgery,640,,,12.4,
Y56,R1H,BARTS HEALTH NHS TRUST,C_300,General Medicine,48,,,8.8,
Y56,R1H,BARTS HEALTH NHS TRUST,C_301,Gastroenterology,"3,177",,,11.7,
Y56,R1H,BARTS HEALTH NHS TRUST,C_320,Cardiology,"5,012",,,19.1,
Y56,R1H,BARTS HEALTH NHS TRUST,C_330,Dermatology,"4,033",,,22.1,
Y56,R1H,BARTS HEALTH NHS TRUST,C_340,Thoracic Medicine,"2,663",,,20.2,
Y56,R1H,BARTS HEALTH NHS TRUST,C_400,Neurology,"1,082",,,12.1,
Y56,R1H,BARTS HEALTH NHS TRUST,C_410,Rheumatology,476,,,8,
Y56,R1H,BARTS HEALTH NHS TRUST,C_430,Geriatric Medicine,54,,,2.2,
Y56,R1H,BARTS HEALTH NHS TRUST,C_502,Gynaecology,"5,584",,,21.3,
Y56,R1H,BARTS HEALTH NHS TRUST,X01,Other,"24,858",,,22.5,
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_100,General Surgery,"6,017","2,660",44.20%,21,43.8
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_101,Urology,"1,001",846,84.50%,4.5,22.7
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_110,Trauma & Orthopaedics,"2,034",849,41.70%,21.6,38.1
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_120,"Ear, Nose & Throat (ENT)","5,471","1,188",21.70%,27.6,47.5
