Region Code,Provider Code,Provider Name,Treatment Function Code,Treatment Function,Total number of incomplete pathways,Total within 18 weeks,% within 18 weeks,Average (median) waiting time (in weeks),92nd percentile waiting time (in weeks)
Y56,R1H,BARTS HEALTH NHS TRUST,C_100,General Surgery,"2,999",,,18.8,
Y56,R1H,BARTS HEALTH NHS TRUST,C_101,Urology,"4,380",,,14.5,
Y56,R1H,BARTS HEALTH NHS TRUST,C_110,Trauma & Orthopaedics,"8,171",,,23.5,
Y56,R1H,BARTS HEALTH NHS TRUST,C_120,"Ear, Nose & Throat (ENT)","8,279",,,21.1,
Y56,R1H,BARTS HEALTH NHS TRUST,C_130,Ophthalmology,"4,906",,,14.5,
Y56,R1H,BARTS HEALTH NHS TRUST,C_140,Oral Surgery,"3,601",,,16.9,
Y56,R1H,BARTS HEALTH NHS TRUST,C_150,Neurosurgery,827,,,12.8,
Y56,R1H,BARTS HEALTH NHS TRUST,C_160,Plastic Surgery,955,,,28.3,
Y56,R1H,BARTS HEALTH NHS TRUST,C_170,Cardiothoracic Surgery,558,,,9.1,
Y56,R1H,BARTS HEALTH NHS TRUST,C_300,General Medicine,28,,,11.5,
Y56,R1H,BARTS HEALTH NHS TRUST,C_301,Gastroenterology,"4,393",,,12.7,
Y56,R1H,BARTS HEALTH NHS TRUST,C_320,Cardiology,"4,518",,,7.8,
Y56,R1H,BARTS HEALTH NHS TRUST,C_330,Dermatology,"3,412",,,12.9,
Y56,R1H,BARTS HEALTH NHS TRUST,C_340,Thoracic Medicine,"2,254",,,13.5,
Y56,R1H,BARTS HEALTH NHS TRUST,C_400,Neurology,"1,209",,,9.4,
Y56,R1H,BARTS HEALTH NHS TRUST,C_410,Rheumatology,635,,,4.1,
Y56,R1H,BARTS HEALTH NHS TRUST,C_430,Geriatric Medicine,68,,,3,
Y56,R1H,BARTS HEALTH NHS TRUST,C_502,Gynaecology,"6,191",,,11.2,
Y56,R1H,BARTS HEALTH NHS TRUST,X01,Other,"28,079",,,13.8,
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_100,General Surgery,"6,559","4,581",69.80%,10.9,46.1
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_101,Urology,"1,575","1,339",85.00%,7.7,21.1
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_110,Trauma & Orthopaedics,"2,339","1,744",74.60%,10,33.4
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_120,"Ear, Nose & Throat (ENT)","6,381","2,855",44.70%,20.9,52+
