Region Code,Provider Code,Provider Name,Treatment Function Code,Treatment Function,Total number of incomplete pathways,Total within 18 weeks,% within 18 weeks,Average (median) waiting time (in weeks),92nd percentile waiting time (in weeks)
Y56,R1H,BARTS HEALTH NHS TRUST,C_100,General Surgery,"3,180",,,20.5,
Y56,R1H,BARTS HEALTH NHS TRUST,C_101,Urology,"4,627",,,16.2,
Y56,R1H,BARTS HEALTH NHS TRUST,C_110,Trauma & Orthopaedics,"8,183",,,24.6,
Y56,R1H,BARTS HEALTH NHS TRUST,C_120,"Ear, Nose & Throat (ENT)","8,411",,,22.8,
Y56,R1H,BARTS HEALTH NHS TRUST,C_130,Ophthalmology,"4,878",,,16.8,
Y56,R1H,BARTS HEALTH NHS TRUST,C_140,Oral Surgery,"3,697",,,19.4,
Y56,R1H,BARTS HEALTH NHS TRUST,C_150,Neurosurgery,861,,,13.7,
Y56,R1H,BARTS HEALTH NHS TRUST,C_160,Plastic Surgery,958,,,29.3,
Y56,R1H,BARTS HEALTH NHS TRUST,C_170,Cardiothoracic Surgery,642,,,10.4,
Y56,R1H,BARTS HEALTH NHS TRUST,C_300,General Medicine,34,,,8.8,
Y56,R1H,BARTS HEALTH NHS TRUST,C_301,Gastroenterology,"4,384",,,14.3,
Y56,R1H,BARTS HEALTH NHS TRUST,C_320,Cardiology,"4,408",,,9.1,
Y56,R1H,BARTS HEALTH NHS TRUST,C_330,Dermatology,"3,338",,,14.9,
Y56,R1H,BARTS HEALTH NHS TRUST,C_340,Thoracic Medicine,"2,155",,,14.1,
Y56,R1H,BARTS HEALTH NHS TRUST,C_400,Neurology,"1,167",,,11.1,
Y56,R1H,BARTS HEALTH NHS TRUST,C_410,Rheumatology,699,,,4.9,
Y56,R1H,BARTS HEALTH NHS TRUST,C_430,Geriatric Medicine,51,,,2.5,
Y56,R1H,BARTS HEALTH NHS TRUST,C_502,Gynaecology,"6,066",,,12.9,
Y56,R1H,BARTS HEALTH NHS TRUST,X01,Other,"29,272",,,14.9,
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_100,General Surgery,"6,464","4,404",68.10%,12.4,48.5
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_101,Urology,"1,306","1,149",88.00%,9.3,21.5
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_110,Trauma & Orthopaedics,"2,374","1,609",67.80%,12.4,34.3
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_120,"Ear, Nose & Throat (ENT)","6,238","2,625",42.10%,22.3,52+
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_130,Ophthalmology,"1,246",976,78.30%,9.2,30.8
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_140,Oral Surgery,"3,356","2,422",72.20%,12.1,28.7
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_150,Neurosurgery, -   , -   , -   ,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_160,Plastic Surgery,5, -   , -   ,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_170,Cardiothoracic Surgery, -   , -   , -   ,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_300,General Medicine,26,26,100.00%,4.8,11.9
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_301,Gastroenterology,"3,887","3,276",84.30%,9.7,22.5
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_320,Cardiology,"1,806","1,723",95.40%,8.5,16.7
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_330,Dermatology,"1,444","1,385",95.90%,7.3,16.3
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_340,Thoracic Medicine,717,692,96.50%,8.8,15.9
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_400,Neurology,706,704,99.70%,5.8,12.3
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_410,Rheumatology,350,348,99.40%,4.1,10.7
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_430,Geriatric Medicine,32,32,100.00%,3.4,10.4
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_502,Gynaecology,"4,927","2,934",59.50%,14.5,52+
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,X01,Other,"4,979","4,438",89.10%,8.2,19.4
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_100,General Surgery, -   , -   , -   ,-,-
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_101,Urology,74,46,62.20%,14.5,36.5
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_110,Trauma & Orthopaedics,"4,449","3,094",69.50%,10.7,48.7
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_120,"Ear, Nose & Throat (ENT)", -   , -   , -   ,-,-
