Region Code,Provider Code,Provider Name,Treatment Function Code,Treatment Function,Total number of incomplete pathways,Total within 18 weeks,% within 18 weeks,Average (median) waiting time (in weeks),92nd percentile waiting time (in weeks),Year_Num,Month_Num,Source_File, 52 plus 
Y56,R1H,BARTS HEALTH NHS TRUST,C_100,General Surgery,"2,588",,,8.8,,2019,8,RTT_2019_AUG,
Y56,R1H,BARTS HEALTH NHS TRUST,C_101,Urology,"4,105",,,9.9,,2019,8,RTT_2019_AUG,
Y56,R1H,BARTS HEALTH NHS TRUST,C_110,Trauma & Orthopaedics,"7,115",,,9.1,,2019,8,RTT_2019_AUG,
Y56,R1H,BARTS HEALTH NHS TRUST,C_120,"Ear, Nose & Throat (ENT)","5,135",,,9.1,,2019,8,RTT_2019_AUG,
Y56,R1H,BARTS HEALTH NHS TRUST,C_130,Ophthalmology,"4,793",,,8.4,,2019,8,RTT_2019_AUG,
Y56,R1H,BARTS HEALTH NHS TRUST,C_140,Oral Surgery,"3,204",,,12.7,,2019,8,RTT_2019_AUG,
Y56,R1H,BARTS HEALTH NHS TRUST,C_150,Neurosurgery,"1,200",,,10.7,,2019,8,RTT_2019_AUG,
Y56,R1H,BARTS HEALTH NHS TRUST,C_160,Plastic Surgery,"1,002",,,10.8,,2019,8,RTT_2019_AUG,
Y56,R1H,BARTS HEALTH NHS TRUST,C_170,Cardiothoracic Surgery,559,,,5.6,,2019,8,RTT_2019_AUG,
Y56,R1H,BARTS HEALTH NHS TRUST,C_300,General Medicine,149,,,12.3,,2019,8,RTT_2019_AUG,
Y56,R1H,BARTS HEALTH NHS TRUST,C_301,Gastroenterology,"3,580",,,7.7,,2019,8,RTT_2019_AUG,
Y56,R1H,BARTS HEALTH NHS TRUST,C_320,Cardiology,"6,898",,,7.7,,2019,8,RTT_2019_AUG,
Y56,R1H,BARTS HEALTH NHS TRUST,C_330,Dermatology,"3,503",,,8.5,,2019,8,RTT_2019_AUG,
Y56,R1H,BARTS HEALTH NHS TRUST,C_340,Thoracic Medicine,"3,255",,,9.4,,2019,8,RTT_2019_AUG,
Y56,R1H,BARTS HEALTH NHS TRUST,C_400,Neurology,"2,302",,,8.9,,2019,8,RTT_2019_AUG,
Y56,R1H,BARTS HEALTH NHS TRUST,C_410,Rheumatology,"1,656",,,6.6,,2019,8,RTT_2019_AUG,
Y56,R1H,BARTS HEALTH NHS TRUST,C_430,Geriatric Medicine,110,,,3.4,,2019,8,RTT_2019_AUG,
Y56,R1H,BARTS HEALTH NHS TRUST,C_502,Gynaecology,"5,273",,,7.7,,2019,8,RTT_2019_AUG,
Y56,R1H,BARTS HEALTH NHS TRUST,X01,Other,"30,033",,,8.8,,2019,8,RTT_2019_AUG,
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_100,General Surgery,"8,460","7,052",83.40%,8.4,23.6,2019,8,RTT_2019_AUG,
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_101,Urology,"3,170","2,747",86.70%,8.6,21.1,2019,8,RTT_2019_AUG,
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_110,Trauma & Orthopaedics,"3,265","2,959",90.60%,7.7,19.1,2019,8,RTT_2019_AUG,
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_120,"Ear, Nose & Throat (ENT)","6,075","4,238",69.80%,11.8,30.3,2019,8,RTT_2019_AUG,
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_130,Ophthalmology,"1,033",935,90.50%,7.9,19.2,2019,8,RTT_2019_AUG,
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_140,Oral Surgery,"5,440","4,221",77.60%,9.7,26.6,2019,8,RTT_2019_AUG,
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_150,Neurosurgery, -   , -   , -   ,-,-,2019,8,RTT_2019_AUG,
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_160,Plastic Surgery,3,3,100.00%,-,-,2019,8,RTT_2019_AUG,
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_170,Cardiothoracic Surgery, -   , -   , -   ,-,-,2019,8,RTT_2019_AUG,
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_300,General Medicine,14,14,100.00%,-,-,2019,8,RTT_2019_AUG,
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_301,Gastroenterology,"2,642","2,380",90.10%,8.2,19.3,2019,8,RTT_2019_AUG,
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_320,Cardiology,"2,540","2,421",95.30%,7.6,17,2019,8,RTT_2019_AUG,
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_330,Dermatology,"3,630","3,320",91.50%,7.3,18.4,2019,8,RTT_2019_AUG,
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_340,Thoracic Medicine,"1,261","1,110",88.00%,8.5,21.3,2019,8,RTT_2019_AUG,
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_400,Neurology,"2,131","1,882",88.30%,9,20.6,2019,8,RTT_2019_AUG,
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_410,Rheumatology,"1,041","1,034",99.30%,6.3,13.1,2019,8,RTT_2019_AUG,
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_430,Geriatric Medicine,167,166,99.40%,4.9,11.5,2019,8,RTT_2019_AUG,
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_502,Gynaecology,"4,209","3,135",74.50%,9.8,33.7,2019,8,RTT_2019_AUG,
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,X01,Other,"7,405","6,803",91.90%,7.1,18.1,2019,8,RTT_2019_AUG,
