Region Code,Provider Code,Provider Name,Treatment Function Code,Treatment Function,Total number of incomplete pathways,Total within 18 weeks,% within 18 weeks,Average (median) waiting time (in weeks),92nd percentile waiting time (in weeks)
Y56,R1H,BARTS HEALTH NHS TRUST,C_100,General Surgery,"2,914",,,11.9,
Y56,R1H,BARTS HEALTH NHS TRUST,C_101,Urology,"4,692",,,11,
Y56,R1H,BARTS HEALTH NHS TRUST,C_110,Trauma & Orthopaedics,"7,264",,,11.6,
Y56,R1H,BARTS HEALTH NHS TRUST,C_120,"Ear, Nose & Throat (ENT)","6,207",,,11.4,
Y56,R1H,BARTS HEALTH NHS TRUST,C_130,Ophthalmology,"4,459",,,11,
Y56,R1H,BARTS HEALTH NHS TRUST,C_140,Oral Surgery,"2,330",,,11.4,
Y56,R1H,BARTS HEALTH NHS TRUST,C_150,Neurosurgery,929,,,10.5,
Y56,R1H,BARTS HEALTH NHS TRUST,C_160,Plastic Surgery,"1,027",,,12.8,
Y56,R1H,BARTS HEALTH NHS TRUST,C_170,Cardiothoracic Surgery,615,,,7.5,
Y56,R1H,BARTS HEALTH NHS TRUST,C_300,General Medicine,67,,,12,
Y56,R1H,BARTS HEALTH NHS TRUST,C_301,Gastroenterology,"3,597",,,10.2,
Y56,R1H,BARTS HEALTH NHS TRUST,C_320,Cardiology,"6,634",,,9.8,
Y56,R1H,BARTS HEALTH NHS TRUST,C_330,Dermatology,"3,429",,,10.1,
Y56,R1H,BARTS HEALTH NHS TRUST,C_340,Thoracic Medicine,"3,367",,,10.6,
Y56,R1H,BARTS HEALTH NHS TRUST,C_400,Neurology,"1,870",,,9.7,
Y56,R1H,BARTS HEALTH NHS TRUST,C_410,Rheumatology,"1,266",,,7.6,
Y56,R1H,BARTS HEALTH NHS TRUST,C_430,Geriatric Medicine,60,,,4.9,
Y56,R1H,BARTS HEALTH NHS TRUST,C_502,Gynaecology,"5,652",,,9.2,
Y56,R1H,BARTS HEALTH NHS TRUST,X01,Other,"29,144",,,10.1,
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_100,General Surgery,"7,068","5,166",73.10%,10.8,30.8
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_101,Urology,"2,647","2,416",91.30%,8.1,18.5
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_110,Trauma & Orthopaedics,"3,098","2,375",76.70%,10.3,25.6
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_120,"Ear, Nose & Throat (ENT)","6,092","3,367",55.30%,16.4,35.7
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_130,Ophthalmology,994,910,91.50%,7.9,18.4
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_140,Oral Surgery,"4,743","3,553",74.90%,10,28.1
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_150,Neurosurgery, -   , -   , -   ,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_160,Plastic Surgery,4,2,50.00%,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_170,Cardiothoracic Surgery, -   , -   , -   ,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_300,General Medicine,28,28,100.00%,2.9,9.8
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_301,Gastroenterology,"2,772","2,234",80.60%,9,24
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_320,Cardiology,"1,841","1,673",90.90%,7.7,18.5
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_330,Dermatology,"2,889","2,355",81.50%,9.9,22.8
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_340,Thoracic Medicine,818,732,89.50%,6.3,19.8
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_400,Neurology,"1,759","1,327",75.40%,11.8,22.2
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_410,Rheumatology,690,674,97.70%,6.8,15.3
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_430,Geriatric Medicine,98,97,99.00%,5.4,11.7
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_502,Gynaecology,"4,388","2,990",68.10%,11.8,34.4
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,X01,Other,"8,195","6,976",85.10%,7.9,21.8
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_100,General Surgery, -   , -   , -   ,-,-
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_101,Urology,115,105,91.30%,8.3,18.4
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_110,Trauma & Orthopaedics,"4,958","3,953",79.70%,8.3,27.7
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_120,"Ear, Nose & Throat (ENT)", -   , -   , -   ,-,-
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_130,Ophthalmology, -   , -   , -   ,-,-
