Region Code,Provider Code,Provider Name,Treatment Function Code,Treatment Function,Total number of incomplete pathways,Total within 18 weeks,% within 18 weeks,Average (median) waiting time (in weeks),92nd percentile waiting time (in weeks)
Y56,R1H,BARTS HEALTH NHS TRUST,C_100,General Surgery,"2,646",,,8.6,
Y56,R1H,BARTS HEALTH NHS TRUST,C_101,Urology,"4,244",,,9.4,
Y56,R1H,BARTS HEALTH NHS TRUST,C_110,Trauma & Orthopaedics,"6,748",,,9.2,
Y56,R1H,BARTS HEALTH NHS TRUST,C_120,"Ear, Nose & Throat (ENT)","5,448",,,8.8,
Y56,R1H,BARTS HEALTH NHS TRUST,C_130,Ophthalmology,"4,826",,,8.2,
Y56,R1H,BARTS HEALTH NHS TRUST,C_140,Oral Surgery,"2,667",,,11.9,
Y56,R1H,BARTS HEALTH NHS TRUST,C_150,Neurosurgery,"1,112",,,12.6,
Y56,R1H,BARTS HEALTH NHS TRUST,C_160,Plastic Surgery,985,,,11.8,
Y56,R1H,BARTS HEALTH NHS TRUST,C_170,Cardiothoracic Surgery,543,,,3.9,
Y56,R1H,BARTS HEALTH NHS TRUST,C_300,General Medicine,88,,,6.8,
Y56,R1H,BARTS HEALTH NHS TRUST,C_301,Gastroenterology,"3,529",,,7.4,
Y56,R1H,BARTS HEALTH NHS TRUST,C_320,Cardiology,"6,824",,,7,
Y56,R1H,BARTS HEALTH NHS TRUST,C_330,Dermatology,"3,192",,,8.1,
Y56,R1H,BARTS HEALTH NHS TRUST,C_340,Thoracic Medicine,"3,276",,,9.4,
Y56,R1H,BARTS HEALTH NHS TRUST,C_400,Neurology,"2,108",,,8.8,
Y56,R1H,BARTS HEALTH NHS TRUST,C_410,Rheumatology,"1,656",,,6.4,
Y56,R1H,BARTS HEALTH NHS TRUST,C_430,Geriatric Medicine,91,,,2.6,
Y56,R1H,BARTS HEALTH NHS TRUST,C_502,Gynaecology,"5,425",,,7.5,
Y56,R1H,BARTS HEALTH NHS TRUST,X01,Other,"29,841",,,8.2,
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_100,General Surgery,"8,400","6,934",82.50%,8.9,24.5
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_101,Urology,"3,149","2,717",86.30%,8,20.7
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_110,Trauma & Orthopaedics,"3,350","2,926",87.30%,8.5,21
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_120,"Ear, Nose & Throat (ENT)","5,887","4,030",68.50%,12,30.9
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_130,Ophthalmology,937,859,91.70%,6.2,18.2
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_140,Oral Surgery,"5,626","4,532",80.60%,8.9,25.7
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_150,Neurosurgery, -   , -   , -   ,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_160,Plastic Surgery,4,4,100.00%,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_170,Cardiothoracic Surgery, -   , -   , -   ,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_300,General Medicine,11,10,90.90%,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_301,Gastroenterology,"2,697","2,360",87.50%,7.8,20.8
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_320,Cardiology,"2,416","2,368",98.00%,6.3,15.7
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_330,Dermatology,"3,648","3,196",87.60%,8.1,21.1
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_340,Thoracic Medicine,"1,052",968,92.00%,6.9,18
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_400,Neurology,"2,250","1,944",86.40%,9.4,21.9
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_410,Rheumatology,"1,006",999,99.30%,7.5,15.4
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_430,Geriatric Medicine,158,157,99.40%,4.4,12.2
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_502,Gynaecology,"4,186","3,172",75.80%,8.9,31.6
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,X01,Other,"7,681","6,785",88.30%,6.6,19.9
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_100,General Surgery, -   , -   , -   ,-,-
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_101,Urology,91,87,95.60%,4.1,13.9
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_110,Trauma & Orthopaedics,"4,680","4,136",88.40%,6.3,21.3
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_120,"Ear, Nose & Throat (ENT)", -   , -   , -   ,-,-
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_130,Ophthalmology, -   , -   , -   ,-,-
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_140,Oral Surgery, -   , -   , -   ,-,-
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_150,Neurosurgery,51,38,74.50%,8.8,29.5
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_160,Plastic Surgery,1,1,100.00%,-,-
