Region Code,Provider Code,Provider Name,Treatment Function Code,Treatment Function,Total number of incomplete pathways,Total within 18 weeks,% within 18 weeks,Average (median) waiting time (in weeks),92nd percentile waiting time (in weeks),Total 52 plus weeks,Year_Num,Month_Num,Source_File
Y59,RN7,DARTFORD AND GRAVESHAM NHS TRUST,C_400,Neurology Service,375,190,50.70%,17.8,33.9,2,2021,12,RTT_2021_DEC
Y59,RN7,DARTFORD AND GRAVESHAM NHS TRUST,C_410,Rheumatology Service, -   , -   ,,-,-,0,2021,12,RTT_2021_DEC
Y59,RN7,DARTFORD AND GRAVESHAM NHS TRUST,C_430,Elderly Medicine Service,383,300,78.30%,11,31.2,8,2021,12,RTT_2021_DEC
Y59,RN7,DARTFORD AND GRAVESHAM NHS TRUST,C_502,Gynaecology Service,"2,930","2,118",72.30%,10.2,37.2,76,2021,12,RTT_2021_DEC
Y59,RN7,DARTFORD AND GRAVESHAM NHS TRUST,X02,Other - Medical Services,303,267,88.10%,6.4,24.3,0,2021,12,RTT_2021_DEC
Y59,RN7,DARTFORD AND GRAVESHAM NHS TRUST,X03,Other - Mental Health Services, -   , -   ,,-,-,0,2021,12,RTT_2021_DEC
Y59,RN7,DARTFORD AND GRAVESHAM NHS TRUST,X04,Other - Paediatric Services,767,732,95.40%,4.8,14.1,0,2021,12,RTT_2021_DEC
Y59,RN7,DARTFORD AND GRAVESHAM NHS TRUST,X05,Other - Surgical Services,860,613,71.30%,10.7,39.6,37,2021,12,RTT_2021_DEC
Y59,RN7,DARTFORD AND GRAVESHAM NHS TRUST,X06,Other - Other Services,84,63,75.00%,9.4,49.3,6,2021,12,RTT_2021_DEC
Y59,RPA,MEDWAY NHS FOUNDATION TRUST,C_100,General Surgery Service,763,443,58.10%,15.2,37,6,2021,12,RTT_2021_DEC
Y59,RPA,MEDWAY NHS FOUNDATION TRUST,C_101,Urology Service,"1,516","1,185",78.20%,8.4,27.1,0,2021,12,RTT_2021_DEC
Y59,RPA,MEDWAY NHS FOUNDATION TRUST,C_110,Trauma and Orthopaedic Service,"1,663","1,068",64.20%,13.1,31.7,11,2021,12,RTT_2021_DEC
Y59,RPA,MEDWAY NHS FOUNDATION TRUST,C_120,Ear Nose and Throat Service,"3,515","1,554",44.20%,20.7,43.2,80,2021,12,RTT_2021_DEC
Y59,RPA,MEDWAY NHS FOUNDATION TRUST,C_130,Ophthalmology Service, -   , -   ,,-,-,0,2021,12,RTT_2021_DEC
Y59,RPA,MEDWAY NHS FOUNDATION TRUST,C_140,Oral Surgery Service, -   , -   ,,-,-,0,2021,12,RTT_2021_DEC
Y59,RPA,MEDWAY NHS FOUNDATION TRUST,C_150,Neurosurgical Service, -   , -   ,,-,-,0,2021,12,RTT_2021_DEC
Y59,RPA,MEDWAY NHS FOUNDATION TRUST,C_160,Plastic Surgery Service, -   , -   ,,-,-,0,2021,12,RTT_2021_DEC
Y59,RPA,MEDWAY NHS FOUNDATION TRUST,C_170,Cardiothoracic Surgery Service, -   , -   ,,-,-,0,2021,12,RTT_2021_DEC
Y59,RPA,MEDWAY NHS FOUNDATION TRUST,C_300,General Internal Medicine Service,676,536,79.30%,11,26.8,0,2021,12,RTT_2021_DEC
Y59,RPA,MEDWAY NHS FOUNDATION TRUST,C_301,Gastroenterology Service,"2,942","1,539",52.30%,17,38.3,5,2021,12,RTT_2021_DEC
Y59,RPA,MEDWAY NHS FOUNDATION TRUST,C_320,Cardiology Service,"2,389","1,360",56.90%,15.2,34.3,2,2021,12,RTT_2021_DEC
Y59,RPA,MEDWAY NHS FOUNDATION TRUST,C_330,Dermatology Service, -   , -   ,,-,-,0,2021,12,RTT_2021_DEC
Y59,RPA,MEDWAY NHS FOUNDATION TRUST,C_340,Respiratory Medicine Service,220,145,65.90%,10.7,29.5,0,2021,12,RTT_2021_DEC
Y59,RPA,MEDWAY NHS FOUNDATION TRUST,C_400,Neurology Service,"1,116",476,42.70%,20.5,36.7,0,2021,12,RTT_2021_DEC
Y59,RPA,MEDWAY NHS FOUNDATION TRUST,C_410,Rheumatology Service,"1,997","1,306",65.40%,13.3,35.9,1,2021,12,RTT_2021_DEC
Y59,RPA,MEDWAY NHS FOUNDATION TRUST,C_430,Elderly Medicine Service,121,92,76.00%,12.6,23.4,0,2021,12,RTT_2021_DEC
Y59,RPA,MEDWAY NHS FOUNDATION TRUST,C_502,Gynaecology Service,"2,769","1,876",67.80%,11.8,29.9,0,2021,12,RTT_2021_DEC
Y59,RPA,MEDWAY NHS FOUNDATION TRUST,X02,Other - Medical Services,"3,308","2,616",79.10%,9.1,28.9,4,2021,12,RTT_2021_DEC
Y59,RPA,MEDWAY NHS FOUNDATION TRUST,X03,Other - Mental Health Services, -   , -   ,,-,-,0,2021,12,RTT_2021_DEC
Y59,RPA,MEDWAY NHS FOUNDATION TRUST,X04,Other - Paediatric Services,150,127,84.70%,9.3,23.2,0,2021,12,RTT_2021_DEC
Y59,RPA,MEDWAY NHS FOUNDATION TRUST,X05,Other - Surgical Services,"4,185","2,965",70.80%,10.5,30.2,3,2021,12,RTT_2021_DEC
Y59,RPA,MEDWAY NHS FOUNDATION TRUST,X06,Other - Other Services,461,226,49.00%,18.7,42.8,0,2021,12,RTT_2021_DEC
Y59,RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,C_100,General Surgery Service, -   , -   ,,-,-,0,2021,12,RTT_2021_DEC
Y59,RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,C_101,Urology Service, -   , -   ,,-,-,0,2021,12,RTT_2021_DEC
Y59,RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,C_110,Trauma and Orthopaedic Service, -   , -   ,,-,-,0,2021,12,RTT_2021_DEC
Y59,RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,C_120,Ear Nose and Throat Service,356,349,98.00%,5.2,11.8,0,2021,12,RTT_2021_DEC
Y59,RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,C_130,Ophthalmology Service,"1,709","1,268",74.20%,10.2,31,29,2021,12,RTT_2021_DEC
Y59,RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,C_140,Oral Surgery Service,"3,706","2,470",66.60%,12.5,34,39,2021,12,RTT_2021_DEC
Y59,RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,C_150,Neurosurgical Service, -   , -   ,,-,-,0,2021,12,RTT_2021_DEC
Y59,RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,C_160,Plastic Surgery Service,"3,635","2,172",59.80%,14.1,42.9,159,2021,12,RTT_2021_DEC
Y59,RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,C_170,Cardiothoracic Surgery Service, -   , -   ,,-,-,0,2021,12,RTT_2021_DEC
Y59,RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,C_300,General Internal Medicine Service, -   , -   ,,-,-,0,2021,12,RTT_2021_DEC
Y59,RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,C_301,Gastroenterology Service, -   , -   ,,-,-,0,2021,12,RTT_2021_DEC
Y59,RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,C_320,Cardiology Service,78,63,80.80%,8.8,25.8,0,2021,12,RTT_2021_DEC
Y59,RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,C_330,Dermatology Service, -   , -   ,,-,-,0,2021,12,RTT_2021_DEC
Y59,RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,C_340,Respiratory Medicine Service, -   , -   ,,-,-,0,2021,12,RTT_2021_DEC
Y59,RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,C_400,Neurology Service, -   , -   ,,-,-,0,2021,12,RTT_2021_DEC
Y59,RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,C_410,Rheumatology Service,60,58,96.70%,8.2,16.6,0,2021,12,RTT_2021_DEC
Y59,RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,C_430,Elderly Medicine Service, -   , -   ,,-,-,0,2021,12,RTT_2021_DEC
Y59,RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,C_502,Gynaecology Service, -   , -   ,,-,-,0,2021,12,RTT_2021_DEC
Y59,RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,X02,Other - Medical Services,14,12,85.70%,-,-,0,2021,12,RTT_2021_DEC
Y59,RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,X03,Other - Mental Health Services,48,44,91.70%,5.8,22.2,0,2021,12,RTT_2021_DEC
Y59,RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,X04,Other - Paediatric Services,22,21,95.50%,5.3,13.2,0,2021,12,RTT_2021_DEC
Y59,RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,X05,Other - Surgical Services,6,6,100.00%,-,-,0,2021,12,RTT_2021_DEC
Y59,RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,X06,Other - Other Services,"1,901","1,362",71.60%,11.5,29.2,0,2021,12,RTT_2021_DEC
Y59,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,C_100,General Surgery Service,"1,475","1,282",86.90%,7.1,22.2,1,2021,12,RTT_2021_DEC
Y59,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,C_101,Urology Service,"2,849","2,096",73.60%,10,37.6,103,2021,12,RTT_2021_DEC
Y59,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,C_110,Trauma and Orthopaedic Service,"6,710","3,848",57.30%,14.5,45.3,385,2021,12,RTT_2021_DEC
Y59,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,C_120,Ear Nose and Throat Service,"1,713","1,452",84.80%,3.6,28.3,52,2021,12,RTT_2021_DEC
Y59,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,C_130,Ophthalmology Service,"3,840","3,145",81.90%,7.1,28.3,50,2021,12,RTT_2021_DEC
Y59,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,C_140,Oral Surgery Service,"1,027",820,79.80%,8.1,36.8,47,2021,12,RTT_2021_DEC
Y59,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,C_150,Neurosurgical Service,868,565,65.10%,12.4,40.4,56,2021,12,RTT_2021_DEC
Y59,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,C_160,Plastic Surgery Service,"1,427",752,52.70%,16.5,57.3,135,2021,12,RTT_2021_DEC
Y59,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,C_170,Cardiothoracic Surgery Service,138,129,93.50%,5.6,16.8,0,2021,12,RTT_2021_DEC
Y59,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,C_300,General Internal Medicine Service,43,37,86.00%,4.3,21.8,1,2021,12,RTT_2021_DEC
Y59,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,C_301,Gastroenterology Service,"4,238","3,087",72.80%,10.6,29.2,3,2021,12,RTT_2021_DEC
Y59,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,C_320,Cardiology Service,"2,609","2,117",81.10%,8,26.7,20,2021,12,RTT_2021_DEC
Y59,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,C_330,Dermatology Service,"2,831","2,154",76.10%,10.6,25.5,0,2021,12,RTT_2021_DEC
Y59,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,C_340,Respiratory Medicine Service,843,780,92.50%,6.5,17.4,0,2021,12,RTT_2021_DEC
Y59,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,C_400,Neurology Service,"2,118","1,761",83.10%,9.2,22.7,0,2021,12,RTT_2021_DEC
Y59,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,C_410,Rheumatology Service,"2,279","1,407",61.70%,13.9,33,5,2021,12,RTT_2021_DEC
Y59,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,C_430,Elderly Medicine Service,180,174,96.70%,4.8,13.5,0,2021,12,RTT_2021_DEC
Y59,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,C_502,Gynaecology Service,"3,322","2,397",72.20%,10.3,34.6,29,2021,12,RTT_2021_DEC
Y59,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,X02,Other - Medical Services,"7,278","6,259",86.00%,7.9,22.7,19,2021,12,RTT_2021_DEC
Y59,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,X03,Other - Mental Health Services,94,93,98.90%,5.2,14.5,0,2021,12,RTT_2021_DEC
Y59,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,X04,Other - Paediatric Services,"4,654","3,504",75.30%,9.5,36.5,129,2021,12,RTT_2021_DEC
Y59,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,X05,Other - Surgical Services,"3,303","2,558",77.40%,8.3,32,42,2021,12,RTT_2021_DEC
Y59,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,X06,Other - Other Services,956,646,67.60%,11.5,37.3,21,2021,12,RTT_2021_DEC
Y59,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,C_100,General Surgery Service,95,77,81.10%,10,28.4,0,2021,12,RTT_2021_DEC
Y59,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,C_101,Urology Service,"1,176","1,030",87.60%,7.8,21.8,0,2021,12,RTT_2021_DEC
Y59,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,C_110,Trauma and Orthopaedic Service,"4,238","3,512",82.90%,9,24.7,5,2021,12,RTT_2021_DEC
Y59,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,C_120,Ear Nose and Throat Service,"1,946","1,704",87.60%,7.6,22.2,3,2021,12,RTT_2021_DEC
Y59,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,C_130,Ophthalmology Service,"2,993","2,539",84.80%,9.1,21.7,0,2021,12,RTT_2021_DEC
Y59,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,C_140,Oral Surgery Service,"2,331","1,668",71.60%,11.7,30.6,5,2021,12,RTT_2021_DEC
Y59,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,C_150,Neurosurgical Service, -   , -   ,,-,-,0,2021,12,RTT_2021_DEC
Y59,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,C_160,Plastic Surgery Service,14,11,78.60%,-,-,0,2021,12,RTT_2021_DEC
Y59,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,C_170,Cardiothoracic Surgery Service, -   , -   ,,-,-,0,2021,12,RTT_2021_DEC
Y59,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,C_300,General Internal Medicine Service,8,8,100.00%,-,-,0,2021,12,RTT_2021_DEC
Y59,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,C_301,Gastroenterology Service,"2,003","1,273",63.60%,12.9,40.9,24,2021,12,RTT_2021_DEC
Y59,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,C_320,Cardiology Service,"1,498","1,276",85.20%,6.8,23.6,2,2021,12,RTT_2021_DEC
Y59,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,C_330,Dermatology Service,"2,703","2,201",81.40%,9.2,23,0,2021,12,RTT_2021_DEC
Y59,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,C_340,Respiratory Medicine Service,818,707,86.40%,8,21.3,0,2021,12,RTT_2021_DEC
Y59,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,C_400,Neurology Service,"1,253",833,66.50%,11.9,29.5,0,2021,12,RTT_2021_DEC
Y59,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,C_410,Rheumatology Service,328,311,94.80%,10.1,15.9,0,2021,12,RTT_2021_DEC
Y59,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,C_430,Elderly Medicine Service,87,80,92.00%,4.9,18,0,2021,12,RTT_2021_DEC
Y59,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,C_502,Gynaecology Service,"2,298","1,645",71.60%,10.5,31.9,13,2021,12,RTT_2021_DEC
Y59,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,X02,Other - Medical Services,"1,247","1,085",87.00%,8.7,21.7,1,2021,12,RTT_2021_DEC
Y59,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,X03,Other - Mental Health Services, -   , -   ,,-,-,0,2021,12,RTT_2021_DEC
Y59,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,X04,Other - Paediatric Services,962,882,91.70%,6.4,18.4,0,2021,12,RTT_2021_DEC
Y59,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,X05,Other - Surgical Services,"4,010","3,014",75.20%,8.7,32.2,37,2021,12,RTT_2021_DEC
Y59,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,X06,Other - Other Services,41,23,56.10%,17,26.9,0,2021,12,RTT_2021_DEC
Y59,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,C_100,General Surgery Service,"1,112",,,13.4,,7,2021,12,RTT_2021_DEC
Y59,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,C_101,Urology Service,"1,724",,,8.5,,17,2021,12,RTT_2021_DEC
Y59,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,C_110,Trauma and Orthopaedic Service,578,,,16,,6,2021,12,RTT_2021_DEC
Y59,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,C_120,Ear Nose and Throat Service,"3,952",,,12.9,,8,2021,12,RTT_2021_DEC
Y59,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,C_130,Ophthalmology Service,"3,889",,,18.3,,9,2021,12,RTT_2021_DEC
Y59,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,C_140,Oral Surgery Service,"1,421",,,13.2,,25,2021,12,RTT_2021_DEC
Y59,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,C_150,Neurosurgical Service, -   ,,,-,,0,2021,12,RTT_2021_DEC
Y59,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,C_160,Plastic Surgery Service, -   ,,,-,,0,2021,12,RTT_2021_DEC
Y59,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,C_170,Cardiothoracic Surgery Service, -   ,,,-,,0,2021,12,RTT_2021_DEC
Y59,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,C_300,General Internal Medicine Service,88,,,3.6,,0,2021,12,RTT_2021_DEC
Y59,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,C_301,Gastroenterology Service,"2,447",,,15,,33,2021,12,RTT_2021_DEC
Y59,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,C_320,Cardiology Service,"1,669",,,8.3,,0,2021,12,RTT_2021_DEC
Y59,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,C_330,Dermatology Service,"1,386",,,9.1,,0,2021,12,RTT_2021_DEC
Y59,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,C_340,Respiratory Medicine Service,905,,,11,,0,2021,12,RTT_2021_DEC
Y59,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,C_400,Neurology Service,"1,191",,,11.6,,3,2021,12,RTT_2021_DEC
Y59,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,C_410,Rheumatology Service,88,,,11.4,,0,2021,12,RTT_2021_DEC
Y59,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,C_430,Elderly Medicine Service,83,,,5.8,,0,2021,12,RTT_2021_DEC
Y59,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,C_502,Gynaecology Service,"3,015",,,13.6,,44,2021,12,RTT_2021_DEC
Y59,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,X02,Other - Medical Services,"2,589",,,11.8,,6,2021,12,RTT_2021_DEC
Y59,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,X03,Other - Mental Health Services, -   ,,,-,,0,2021,12,RTT_2021_DEC
Y59,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,X04,Other - Paediatric Services,"1,600",,,9,,10,2021,12,RTT_2021_DEC
Y59,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,X05,Other - Surgical Services,"4,301",,,8.2,,22,2021,12,RTT_2021_DEC
Y59,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,X06,Other - Other Services,460,,,13.5,,9,2021,12,RTT_2021_DEC
Y59,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,C_100,General Surgery Service,"10,188","5,440",53.40%,16,59.8,"1,228",2021,12,RTT_2021_DEC
Y59,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,C_101,Urology Service,"3,672","2,174",59.20%,12.8,53.6,314,2021,12,RTT_2021_DEC
Y59,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,C_110,Trauma and Orthopaedic Service,"7,814","3,001",38.40%,24.8,66,"1,337",2021,12,RTT_2021_DEC
Y59,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,C_120,Ear Nose and Throat Service,"7,659","3,694",48.20%,18.8,60.3,894,2021,12,RTT_2021_DEC
Y59,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,C_130,Ophthalmology Service,"4,707","3,191",67.80%,12.2,35.2,132,2021,12,RTT_2021_DEC
Y59,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,C_140,Oral Surgery Service,"3,112","2,134",68.60%,12.1,34.3,28,2021,12,RTT_2021_DEC
Y59,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,C_150,Neurosurgical Service, -   , -   ,,-,-,0,2021,12,RTT_2021_DEC
Y59,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,C_160,Plastic Surgery Service, -   , -   ,,-,-,0,2021,12,RTT_2021_DEC
Y59,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,C_170,Cardiothoracic Surgery Service,2,2,100.00%,-,-,0,2021,12,RTT_2021_DEC
Y59,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,C_300,General Internal Medicine Service,11,6,54.50%,-,-,0,2021,12,RTT_2021_DEC
Y59,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,C_301,Gastroenterology Service,"4,665","3,031",65.00%,12.6,32.6,27,2021,12,RTT_2021_DEC
Y59,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,C_320,Cardiology Service,"1,656","1,233",74.50%,8.9,32.8,0,2021,12,RTT_2021_DEC
Y59,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,C_330,Dermatology Service,"4,014","2,741",68.30%,11.4,32.6,19,2021,12,RTT_2021_DEC
Y59,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,C_340,Respiratory Medicine Service,"1,800","1,303",72.40%,11.3,28.9,0,2021,12,RTT_2021_DEC
Y59,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,C_400,Neurology Service,"1,914","1,385",72.40%,11.9,27.4,0,2021,12,RTT_2021_DEC
Y59,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,C_410,Rheumatology Service,"1,092",927,84.90%,8.6,22.1,0,2021,12,RTT_2021_DEC
Y59,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,C_430,Elderly Medicine Service,471,319,67.70%,12.5,28.5,0,2021,12,RTT_2021_DEC
Y59,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,C_502,Gynaecology Service,"4,902","2,933",59.80%,14,54.6,419,2021,12,RTT_2021_DEC
Y59,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,X02,Other - Medical Services,"1,507","1,334",88.50%,7.2,19.7,0,2021,12,RTT_2021_DEC
Y59,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,X03,Other - Mental Health Services, -   , -   ,,-,-,0,2021,12,RTT_2021_DEC
Y59,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,X04,Other - Paediatric Services,"1,332","1,258",94.40%,4.8,15.7,0,2021,12,RTT_2021_DEC
Y59,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,X05,Other - Surgical Services,"2,686","1,654",61.60%,13.5,41.7,66,2021,12,RTT_2021_DEC
Y59,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,X06,Other - Other Services,114,104,91.20%,7.3,18.9,0,2021,12,RTT_2021_DEC
Y59,RW1,SOUTHERN HEALTH NHS FOUNDATION TRUST,C_100,General Surgery Service, -   , -   ,,-,-,0,2021,12,RTT_2021_DEC
Y59,RW1,SOUTHERN HEALTH NHS FOUNDATION TRUST,C_101,Urology Service,1, -   , -   ,-,-,0,2021,12,RTT_2021_DEC
Y59,RW1,SOUTHERN HEALTH NHS FOUNDATION TRUST,C_110,Trauma and Orthopaedic Service,"2,500","2,325",93.00%,7.8,17.2,0,2021,12,RTT_2021_DEC
Y59,RW1,SOUTHERN HEALTH NHS FOUNDATION TRUST,C_120,Ear Nose and Throat Service,399,385,96.50%,5.1,13.7,0,2021,12,RTT_2021_DEC
Y59,RW1,SOUTHERN HEALTH NHS FOUNDATION TRUST,C_130,Ophthalmology Service, -   , -   ,,-,-,0,2021,12,RTT_2021_DEC
Y59,RW1,SOUTHERN HEALTH NHS FOUNDATION TRUST,C_140,Oral Surgery Service, -   , -   ,,-,-,0,2021,12,RTT_2021_DEC
Y59,RW1,SOUTHERN HEALTH NHS FOUNDATION TRUST,C_150,Neurosurgical Service, -   , -   ,,-,-,0,2021,12,RTT_2021_DEC
Y59,RW1,SOUTHERN HEALTH NHS FOUNDATION TRUST,C_160,Plastic Surgery Service, -   , -   ,,-,-,0,2021,12,RTT_2021_DEC
Y59,RW1,SOUTHERN HEALTH NHS FOUNDATION TRUST,C_170,Cardiothoracic Surgery Service, -   , -   ,,-,-,0,2021,12,RTT_2021_DEC
Y59,RW1,SOUTHERN HEALTH NHS FOUNDATION TRUST,C_300,General Internal Medicine Service,129,129,100.00%,5.2,10.9,0,2021,12,RTT_2021_DEC
Y59,RW1,SOUTHERN HEALTH NHS FOUNDATION TRUST,C_301,Gastroenterology Service,168,161,95.80%,3.6,11.9,0,2021,12,RTT_2021_DEC
Y59,RW1,SOUTHERN HEALTH NHS FOUNDATION TRUST,C_320,Cardiology Service,84,84,100.00%,4.1,13.1,0,2021,12,RTT_2021_DEC
