provider_code,p92_wait_time,pct_change_last_month,waiting_list_change,Random Forest,Treatment_Function,current_pct,total_waiting
RVV,NULL,-5.555555556,1,1,General Internal Medicine Service,50,10
RVW,35.5,3.019367872,-7,1,Respiratory Medicine Service,72.2965,823
RWA,41.4,-6.252995208,7,1,Cardiothoracic Surgery Service,65.3125,320
RWD,22.1,-2.892392266,58,1,Other - Other Services,87.0466,386
RWP,NULL,12.72727273,1,1,Plastic Surgery Service,72.7273,11
RWW,36.7,-4.193722944,2,1,General Surgery Service,60.3896,770
RWW,31.5,1.182956281,49,1,Rheumatology Service,61.5578,796
RWY,26.1,-3.780638199,-21,1,Other - Surgical Services,63.5271,499
RXP,37.5,-0.61169562,-60,1,Oral Surgery Service,49.8361,610
RXP,30.2,-0.627716348,-3,1,Other - Mental Health Services,74.2475,598
RXW,27.1,-9.880525687,-115,1,Other - Medical Services,54.1935,155
RXW,45.4,9.230021499,70,1,Other - Other Services,66.468,671
RYJ,33.4,4.215357158,62,1,Cardiothoracic Surgery Service,72.5322,466
RYJ,20.7,-9.275053305,5,1,Oral Surgery Service,83.5821,201
R0A,43.9,-2.791953401,-14,0,Cardiothoracic Surgery Service,56.1587,958
R0A,30,2.48349835,51,0,Elderly Medicine Service,67.5,960
R0A,20.3,2.165492958,-18,0,Neurology Service,85.9155,142
R0A,23.8,15.41168191,-20,0,Other - Mental Health Services,82.7586,29
R0B,35.9,2.234002272,-6,0,Other - Surgical Services,68.4211,133
R0D,20.1,-2.487094265,-37,0,Elderly Medicine Service,89.6648,358
R0D,25.1,0.257400257,-10,0,General Internal Medicine Service,62.1622,74
R0D,23.7,4.892503625,-15,0,General Surgery Service,84.3137,918
R0D,14,0.839905723,-142,0,Other - Other Services,97.6774,775
R1A,17.2,-3.668993021,26,0,Trauma and Orthopaedic Service,92.9412,85
R1D,24.2,-1.449875725,3,0,Cardiology Service,66.1972,71
R1D,37,-0.11529262,-7,0,Ear Nose and Throat Service,47.3595,587
R1D,25.2,-3.1926694,-2,0,Gynaecology Service,68.5315,143
R1D,21.2,-3.20855615,5,0,Other - Paediatric Services,90.9091,22
R1D,46.4,-3.157894737,0,0,Respiratory Medicine Service,33.6842,95
R1D,NULL,0,3,0,Rheumatology Service,100,5
R1F,39.4,6.072034467,44,0,Cardiology Service,45.857,881
R1F,11.5,-1.929824561,8,0,Elderly Medicine Service,94.7368,38
R1F,NULL,0,2,0,General Internal Medicine Service,100,3
